"outlier","left","relation","right","owl_type"
0.08044521780455924,"http://edas#AccommodationPlace","=","http://sigkdd#Best_Applications_Paper_Award","c"
0.08788952408970749,"http://edas#WeekRejectRating","=","http://sigkdd#Registration_Non-Member","c"
0.08381102882584344,"http://edas#PerformanceTopic","=","http://sigkdd#Speaker","c"
0.029269769767014297,"http://edas#ComputerArchitectureTopic","=","http://sigkdd#Silver_Supporter","c"
0.049243052227144916,"http://edas#Sponsorship","=","http://sigkdd#Program_Chair","c"
0.057034532501066736,"http://edas#PersonalHistory","=","http://sigkdd#Author_of_paper_student","c"
0.08831834175852331,"http://edas#hasMenu","=","http://sigkdd#search","op"
0.03339396868028093,"http://edas#PendingPaper","=","http://sigkdd#Gold_Supporter","c"
0.0300904050078233,"http://edas#PaperPresentation","=","http://sigkdd#General_Chair","c"
0.12339385533481058,"http://edas#ConferenceChair","=","http://sigkdd#Committee","c"
0.02034253041408178,"http://edas#ConferenceChair","=","http://sigkdd#Award","c"
0.07312753129294544,"http://edas#PersonalReviewHistory","=","http://sigkdd#Best_Student_Paper_Award","c"
0.029062495637159135,"http://edas#AcademiaOrganization","=","http://sigkdd#Conference_hall","c"
0.0500130246237734,"http://edas#Call","=","http://sigkdd#Author_of_paper","c"
0.039468829322631745,"http://edas#PersonalPublicationHistory","=","http://sigkdd#Best_Paper_Awards_Committee","c"
0.03692454727104409,"http://edas#ClosingTalk","=","http://sigkdd#Organizing_Committee","c"
0.08187836479580841,"http://edas#ComputerNetworksMeasurementsTopic","=","http://sigkdd#Program_Committee","c"
0.06070570167535671,"http://edas#CommunicationsTopic","=","http://sigkdd#Registration_SIGKDD_Member","c"
0.06204781791819196,"http://edas#RadioCommunicationsTopic","=","http://sigkdd#Program_Committee_member","c"
0.06586644808047512,"http://edas#Attendee","=","http://sigkdd#Award","c"
0.044681501916059324,"http://edas#MealMenu","=","http://sigkdd#Person","c"
0.1950754479102467,"http://edas#hasEndDateTime","=","http://sigkdd#End_of_conference","dp"
0.102183808478263,"http://edas#GovernmentOrganization","=","http://sigkdd#Registration_Student","c"
0.17658086743953977,"http://edas#NGO","=","http://sigkdd#Conference","c"
0.04538300804637255,"http://edas#ContactInformation","=","http://sigkdd#Deadline","c"
0.03356285320763931,"http://edas#CoffeeBreak","=","http://sigkdd#Review","c"
0.05726640579202094,"http://edas#RejectedPaper","=","http://sigkdd#Document","c"
0.17364143752611771,"http://edas#ReviewRating","=","http://sigkdd#Registration_fee","c"
0.08636529237683548,"http://edas#MeetingRoomPlace","=","http://sigkdd#General_Chair","c"
0.018995820606362596,"http://edas#AcceptRating","=","http://sigkdd#Author_of_paper_student","c"
0.04508432503531533,"http://edas#AntennasTopic","=","http://sigkdd#Paper","c"
0.15506982516314452,"http://edas#isLocationOf","=","http://sigkdd#presentation","op"
0.07275596091702673,"http://edas#Excursion","=","http://sigkdd#Award","c"
0.04510487078044629,"http://edas#Place","=","http://sigkdd#Best_Research_Paper_Award","c"
0.031184573534772463,"http://edas#CommunicationTheoryTopic","=","http://sigkdd#Conference_hall","c"
0.053013379170769225,"http://edas#belongsToEvent","=","http://sigkdd#notification_until","op"
0.1112412396700688,"http://edas#ComputerNetworksAapplicationsTopic","=","http://sigkdd#Place","c"
0.08631773189222047,"http://edas#ComputerNetworksManagementTopic","=","http://sigkdd#Organizing_Committee_member","c"
0.04363199283473714,"http://edas#AccommodationPlace","=","http://sigkdd#Person","c"
0.03925125743203966,"http://edas#ComputerNetworksSwitchingTopic","=","http://sigkdd#Conference","c"
0.049790790996677325,"http://edas#WeekRejectRating","=","http://sigkdd#Deadline","c"
0.24951320270472824,"http://edas#hasLastName","=","http://sigkdd#Name_of_conference","dp"
0.020487056175037165,"http://edas#TestOnlyTopic","=","http://sigkdd#Deadline","c"
0.02872898104802472,"http://edas#MeetingRoomPlace","=","http://sigkdd#Registration_SIGMOD_Member","c"
0.07706425247844521,"http://edas#ActivePaper","=","http://sigkdd#Invited_Speaker","c"
0.10502452741507565,"http://edas#ReviewForm","=","http://sigkdd#Fee","c"
0.009850040704303282,"http://edas#MedicineTopic","=","http://sigkdd#Best_Student_Paper_Award","c"
0.03612762085860258,"http://edas#hasRating","=","http://sigkdd#pay","op"
0.12365599665284387,"http://edas#CommunicationsTopic","=","http://sigkdd#Deadline_Author_notification","c"
0.0793551095672317,"http://edas#hasRelatedPaper","=","http://sigkdd#presentation","op"
0.023035294711695832,"http://edas#Conference","=","http://sigkdd#Program_Chair","c"
0.07858934395899402,"http://edas#Reception","=","http://sigkdd#Speaker","c"
0.1379227290687268,"http://edas#WithdrawnPaper","=","http://sigkdd#Best_Student_Paper_Award","c"
0.05149208668032383,"http://edas#Paper","=","http://sigkdd#Abstract","c"
0.037214269033692474,"http://edas#ComputerNetworksSecurityTopic","=","http://sigkdd#Conference","c"
0.02481801282987319,"http://edas#Country","=","http://sigkdd#Registration_Student","c"
0.13084151787735407,"http://edas#isWrittenBy","=","http://sigkdd#presentation","op"
0.14126997398486507,"http://edas#PublishedPaper","=","http://sigkdd#Best_Student_Paper_Award","c"
0.05292573719891907,"http://edas#ConferenceChair","=","http://sigkdd#Registration_fee","c"
0.10745836998303075,"http://edas#Person","=","http://sigkdd#Best_Student_Paper_Award","c"
0.031038480711416343,"http://edas#Document","=","http://sigkdd#Best_Research_Paper_Award","c"
0.14903714524795172,"http://edas#RejectRating","=","http://sigkdd#Registration_SIGKDD_Member","c"
0.07501847007344938,"http://edas#TestOnlyTopic","=","http://sigkdd#Document","c"
0.023711409490066695,"http://edas#hasProgramme","=","http://sigkdd#pay","op"
0.09135105060583223,"http://edas#Excursion","=","http://sigkdd#Registration_fee","c"
0.03418455332145547,"http://edas#Conference","=","http://sigkdd#Deadline","c"
0.05331994474478548,"http://edas#ComputerNetworksAapplicationsTopic","=","http://sigkdd#Platinum_Supporter","c"
0.047818092008157925,"http://edas#CoffeeBreak","=","http://sigkdd#Author_of_paper","c"
0.07200841592258746,"http://edas#ComputerNetworksSensorTopic","=","http://sigkdd#Program_Committee_member","c"
0.10627654419369721,"http://edas#CallForPapers","=","http://sigkdd#Best_Paper_Awards_Committee","c"
0.11078234401218182,"http://edas#hasProgramme","=","http://sigkdd#holded_by","op"
0.08486891696730724,"http://edas#SatelliteAndSpaceCommunicationsTopic","=","http://sigkdd#Program_Committee","c"
0.03834725736548048,"http://edas#PersonalPublicationHistory","=","http://sigkdd#Exhibitor","c"
0.07378482903767329,"http://edas#Presenter","=","http://sigkdd#General_Chair","c"
0.07975648171293558,"http://edas#AcademicEvent","=","http://sigkdd#Best_Research_Paper_Award","c"
0.016148713694406836,"http://edas#Reception","=","http://sigkdd#Program_Committee","c"
0.122931753563686,"http://edas#Topic","=","http://sigkdd#Abstract","c"
0.04002098794019305,"http://edas#ComputerNetworksManagementTopic","=","http://sigkdd#Conference","c"
0.04122020216514036,"http://edas#WirelessCommunicationsTopic","=","http://sigkdd#Deadline_Paper_Submission","c"
0.01846536346253664,"http://edas#ConferenceVenuePlace","=","http://sigkdd#Review","c"
0.05058281550796187,"http://edas#PaperPresentation","=","http://sigkdd#Fee","c"
0.06170176429400604,"http://edas#ConferenceEvent","=","http://sigkdd#Deadline","c"
0.04040842708089993,"http://edas#SessionChair","=","http://sigkdd#Hotel","c"
0.019200112051405413,"http://edas#ConferenceEvent","=","http://sigkdd#General_Chair","c"
0.07277933697989204,"http://edas#WeekRejectRating","=","http://sigkdd#Fee","c"
0.053065461182866404,"http://edas#AccommodationPlace","=","http://sigkdd#Program_Committee_member","c"
0.052011498373773175,"http://edas#hasLastName","=","http://sigkdd#End_of_conference","dp"
0.023465338729439823,"http://edas#ContactInformation","=","http://sigkdd#Program_Committee_member","c"
0.0482382151833006,"http://edas#BreakEvent","=","http://sigkdd#Fee","c"
0.0134906514893973,"http://edas#TestOnlyTopic","=","http://sigkdd#Deadline_Author_notification","c"
0.0716339033375445,"http://edas#PerformanceTopic","=","http://sigkdd#Program_Committee","c"
0.03671764788371186,"http://edas#Author","=","http://sigkdd#Best_Student_Paper_Award","c"
0.03341188424133797,"http://edas#Call","=","http://sigkdd#Committee","c"
0.10532212030059686,"http://edas#Document","=","http://sigkdd#Fee","c"
