left,relation,right,owl_type,match_type,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,ngramDistance,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,wuPalmer,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,prefixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,path,lin,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,jaroWinklerMeasure,word2Vec,level2_jara_winkler,prefix,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,jaccard,level2_monge_elkan,suffix,esaSim,prefixdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,level2_jaro,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,needlemanWunsch2Distance,umbcSim,soft_tfidf_jaro,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,prefixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,mongeElkan,simple_tfidf,jaro_winkler_tfidf,levenshteinDistance,hammingDistance,equalDistance,subStringDistance,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroMeasure
http://confOf#Reviewing_event,=,http://iasted#Shuttle_bus,c,FF,0.4,0.0,0.06802962605925592,0.4,0.2583333333333333,0.4383838383838384,0.0,0.0,0.08012820512820512,0.0,0.4328042328042328,0.4383838383838384,0.0,0.4383838383838384,0.06802962605925592,0.4328042328042328,0.0,0.0,0.0,0.0,0.0,0.4,0.09090909090909091,7.9078555E-4,0.0,0.0,0.4328042328042328,0.4328042328042328,0.2583333333333333,0.0,0.0,0.2583333333333333,0.0375185442846132,0.052631578947368474,0.03745668148621917,0.0,0.09090909090909091,0.0,0.06802962605925592,0.14545454545454545,0.0,0.0,0.06666666666666665,0.0,0.0,0.07692307692307687,0.0,0.0,0.09090909090909091,0.0,0.4383838383838384
http://confOf#hasCountry,=,http://iasted#write,op,FF,0.6333333333333333,0.0,0.6485345737436243,0.2,0.0,0.7658730158730158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03931264522497617,0.0,0.2,0.0,0.0096594159,0.0,0.0,0.7658730158730158,0.0,0.0,0.0,0.0,0.6176470588235294,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.09999999999999998,0.0,0.0,0.1333333333333333,0.0,0.0,0.5714285714285714,0.0,0.0
http://confOf#Topic,=,http://iasted#Book_proceeding,c,FF,0.32,0.0,0.37672714994667855,0.32,0.3176470588235294,0.0,0.0,0.0,0.08571428571428572,0.053159039989236524,0.5222222222222221,0.0,0.0,0.0,0.37672714994667855,0.5222222222222221,0.0,0.0,0.0,0.2948023230118703,0.0,0.32,0.06666666666666667,0.015861781499999998,0.0,0.0,0.5222222222222221,0.5222222222222221,0.3176470588235294,0.0,0.0,0.3176470588235294,0.07457138450374443,0.12,0.07075967639684677,0.0,0.06666666666666667,0.0,0.37672714994667855,0.32,0.0,0.0,0.19999999999999996,0.06666666666666665,0.0,0.09999999999999998,0.0,0.0,0.06666666666666667,0.0,0.0
http://confOf#Chair_PC,=,http://iasted#Double_hotel_room,c,FF,0.31,0.0,0.2770392480145758,0.31,0.8971139971139971,0.3946078431372549,0.0,0.0,0.18994708994708995,0.2263113620940286,0.2333333333333333,0.3946078431372549,0.0,0.3946078431372549,0.2770392480145758,0.2333333333333333,0.0,0.0,0.0,0.36899871652344896,0.0,0.31,0.0,0.0033963897333333334,0.0,0.0,0.2333333333333333,0.2333333333333333,0.8971139971139971,0.0,0.0,0.8971139971139971,0.08856741758232857,0.07692307692307687,0.0,0.0,0.0,0.0,0.2770392480145758,0.275,0.0,0.0,0.11764705882352944,0.0,0.0,0.07999999999999996,0.0,0.0,0.0,0.0,0.3946078431372549
http://confOf#Regular,=,http://iasted#Time_zone,c,FF,0.25,0.0,0.1073329072150779,0.25,0.2857142857142857,0.41798941798941797,0.0,0.0,0.06349206349206349,0.05211986556463092,0.46428571428571425,0.41798941798941797,0.0,0.41798941798941797,0.1073329072150779,0.46428571428571425,0.0,0.0,0.0,0.08108807607545113,0.0,0.25,0.14285714285714285,0.00520468965,0.0,0.0,0.46428571428571425,0.46428571428571425,0.2857142857142857,0.0,0.0,0.2857142857142857,0.05244902065545645,0.09090909090909094,0.023381724953651428,0.0,0.14285714285714285,0.0,0.1073329072150779,0.14285714285714285,0.0,0.0,0.11111111111111116,0.0,0.0,0.125,0.0,0.0,0.14285714285714285,0.0,0.41798941798941797
http://confOf#Workshop,=,http://iasted#Departure_tax,c,FF,0.2,0.0,0.0063869991724854296,0.2,0.2361111111111111,0.0,0.0,0.0,0.07179487179487179,0.0,0.0,0.0,0.0,0.0,0.0063869991724854296,0.0,0.0,0.0,0.0,0.050948291928184675,0.0,0.2,0.07692307692307693,0.00153659425,0.0,0.0,0.0,0.0,0.2361111111111111,0.0,0.0,0.2361111111111111,0.05763907848884425,0.05555555555555558,0.0063880825182422996,0.0,0.07692307692307693,0.0,0.0063869991724854296,0.2,0.0,0.0,0.07692307692307687,0.0,0.0,0.09523809523809523,0.0,0.0,0.07692307692307693,0.0,0.0
http://confOf#Author,=,http://iasted#Presenter_state,c,FF,0.32,0.0,0.3175051890752278,0.32,0.6605263157894736,0.0,0.06666666666666667,0.0,0.23809523809523808,0.09389101793264001,0.41111111111111115,0.0,0.0,0.0,0.3175051890752278,0.41111111111111115,0.06666666666666667,0.0,0.0,0.41421215553804286,0.0,0.32,0.06666666666666667,0.0205776724,0.0,0.0,0.41111111111111115,0.41111111111111115,0.6605263157894736,0.0,0.0,0.6605263157894736,0.04943478054253362,0.04166666666666663,0.0,0.0,0.06666666666666667,0.06666666666666667,0.3175051890752278,0.26666666666666666,0.0,0.0,0.06666666666666665,0.0,0.0,0.09523809523809523,0.0,0.0,0.06666666666666667,0.0,0.0
http://confOf#Poster,=,http://iasted#State,c,FF,0.52,0.0,0.0,0.52,0.26666666666666666,0.7000000000000001,0.3333333333333333,0.0,0.08333333333333333,0.0,0.7000000000000001,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001,0.3333333333333333,0.0,0.0,0.0,0.0,0.52,0.3333333333333333,0.0017875992,0.0,0.0,0.7000000000000001,0.7000000000000001,0.26666666666666666,0.0,0.0,0.26666666666666666,0.059046728883522054,0.2857142857142857,0.08237458020448685,0.0,0.3333333333333333,0.3333333333333333,0.0,0.52,0.0,0.0,0.33333333333333337,0.33333333333333337,0.0,0.36363636363636365,0.0,0.0,0.3333333333333333,0.0,0.7000000000000001
http://confOf#hasPostalCode,=,http://iasted#is_situated_in,dp,FF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://confOf#City,=,http://iasted#Conference_activity,c,FF,0.75,0.10526315789473684,0.145304825882478,0.75,0.17424242424242425,0.4907894736842105,0.25,0.0,0.09545454545454546,0.0,0.5972222222222222,0.4907894736842105,0.0,0.4907894736842105,0.145304825882478,0.5972222222222222,0.25,0.0,0.10526315789473684,0.1362908293395938,0.0,0.75,0.75,0.00627309055,0.0,0.0,0.5972222222222222,0.5972222222222222,0.17424242424242425,0.5630781499202552,0.0,0.17424242424242425,0.09047018496736972,0.11764705882352944,0.0,0.0,0.75,0.25,0.145304825882478,0.75,0.0,0.0,0.21052631578947367,0.052631578947368474,0.0,0.26086956521739135,0.0,0.0,0.75,0.10526315789473684,0.43421052631578944
