left,relation,right,owl_type,match_type,wuPalmerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,ngramDistance,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,wuPalmer,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,path,lin,equalSimilarityStemmed,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,mongeElkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,jaroWinklerMeasure,mongeElkandeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,word2Vec,level2_jara_winkler,prefix,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,jaccard,word2VecdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,umbcSim,soft_tfidf_jaro,mongeElkandeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,fuzzydice,fuzzycosine,wuPalmerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,mongeElkan,simple_tfidf,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,fuzzyjaccard,levenshteinDistance,word2VecdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,hammingDistance,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,mongeElkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,equalDistance,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,subStringDistance,umbcphrasesim,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroMeasure,ngramDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher
http://cmt#rejectPaper,=,http://iasted#is_made_from,op,FF,0.48954248366013076,0.0,0.3201545976402394,0.48954248366013076,0.5472222222222222,0.0,0.1620787950697928,0.0,0.5163817663817664,0.275,0.5472222222222222,0.16666666666666663,0.5472222222222222,0.275,0.29988535693172036,0.5163817663817664,0.0,0.16666666666666663,0.0,0.4584519615040427,0.0,0.3982037995607285,0.0,0.0,0.5163817663817664,0.48954248366013076,0.0,0.48954248366013076,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.48954248366013076,0.29988535693172036,0.1769230769230769,0.275,0.0,0.19999999999999996,0.0,0.16666666666666663,0.29988535693172036,0.0,0.5472222222222222,0.0,0.275,0.0,0.5163817663817664,0.5163817663817664,0.0,0.17366385459899902,0.0,0.5472222222222222,0.0,0.5472222222222222,0.0
http://cmt#Paper,=,http://iasted#Tutorial,c,FF,0.25,0.0,0.32740843849395845,0.25,0.44166666666666665,0.0,0.0,0.0,0.45555555555555555,0.32,0.44166666666666665,0.0,0.44166666666666665,0.0,0.32740843849395845,0.45555555555555555,0.0,0.0,0.0,0.24187502941048558,0.0,0.32740843849395845,0.0,0.0,0.45555555555555555,0.25,0.0,0.25,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.32740843849395845,0.0,0.32,0.0,0.0,0.0,0.0,0.32740843849395845,0.0,0.44166666666666665,0.0,0.32,0.0,0.45555555555555555,0.45555555555555555,0.15384615384615385,0.0,0.0,0.44166666666666665,0.0,0.44166666666666665,0.0
http://cmt#memberOfProgramCommittee,=,http://iasted#is_sent_after,op,FF,0.650046685340803,0.0,0.19577401715520992,0.650046685340803,0.4648337595907928,0.1672065407359525,0.0,0.0,0.4268518518518518,0.2,0.4648337595907928,0.17391304347826086,0.4648337595907928,0.2,0.19577401715520992,0.4268518518518518,0.0,0.17391304347826086,0.0,0.1593520917988062,0.0,0.19577401715520992,0.0,0.0,0.4268518518518518,0.650046685340803,0.0,0.650046685340803,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.650046685340803,0.19577401715520992,0.17391304347826086,0.2,0.0,0.17391304347826086,0.0,0.17391304347826086,0.19577401715520992,0.0,0.4648337595907928,0.0,0.2,0.0,0.4268518518518518,0.4268518518518518,0.0,0.0,0.0,0.4648337595907928,0.0,0.4648337595907928,0.0
http://cmt#Rejection,=,http://iasted#Book_proceeding,c,FF,0.4861111111111111,0.0,0.2840868414214579,0.4861111111111111,0.0,0.0,0.15504115931636453,0.0,0.6626984126984127,0.3333333333333333,0.0,0.2142857142857143,0.0,0.3333333333333333,0.2840868414214579,0.6626984126984127,0.0,0.2142857142857143,0.0,0.19626748229423896,0.0,0.2840868414214579,0.0,0.0,0.6626984126984127,0.4861111111111111,0.0,0.4861111111111111,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4861111111111111,0.2840868414214579,0.2142857142857143,0.3333333333333333,0.0,0.2142857142857143,0.0,0.2142857142857143,0.2840868414214579,0.0,0.0,0.0,0.3333333333333333,0.0,0.6626984126984127,0.6626984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://cmt#ConferenceMember,=,http://iasted#Conference_airport,c,FF,0.9729102167182663,0.5517241379310345,0.7983299891904168,0.9729102167182663,0.8597222222222223,0.6124188311688311,0.5773150440610472,0.5,0.5,0.65,0.8597222222222223,0.6470588235294117,0.8597222222222223,0.65,0.7983299891904168,0.5,0.625,0.6470588235294117,0.5517241379310345,0.7727611330026959,0.3333333333333333,0.7983299891904168,0.0,0.5517241379310345,0.5,0.9729102167182663,0.7913009404388716,0.9729102167182663,0.5893950252117737,0.5101238433271646,0.2125608143966665,0.65,0.0,0.0,0.5,0.5,0.9729102167182663,0.7983299891904168,0.6470588235294117,0.65,0.2125608143966665,0.6470588235294117,0.3333333333333333,0.6470588235294117,0.7983299891904168,0.6470588235294117,0.8597222222222223,0.0,0.65,0.0,0.5,0.5,0.6060606060606061,0.0,0.0,0.8597222222222223,0.5517241379310345,0.7662037037037037,0.5517241379310345
http://cmt#User,=,http://iasted#Item,c,FF,0.26666666666666666,0.0,0.27191519844395323,0.26666666666666666,0.5,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.5,0.0,0.27191519844395323,0.5,0.0,0.25,0.0,0.18333153347839087,0.0,0.27191519844395323,0.0,0.0,0.5,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.27191519844395323,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0.0
http://cmt#Rejection,=,http://iasted#Deadline_hotel_reservation,c,FF,0.32051282051282054,0.0,0.0,0.32051282051282054,0.44928774928774934,0.0,0.0,0.0,0.7333333333333333,0.4444444444444444,0.44928774928774934,0.0,0.44928774928774934,0.4444444444444444,0.0,0.7333333333333333,0.0,0.29166666666666663,0.0,0.21351230877607952,0.0,0.0,0.4444444444444444,0.0,0.7333333333333333,0.32051282051282054,0.3826625028915105,0.32051282051282054,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3181818181818182,0.36740471675703457,0.32051282051282054,0.0,0.29166666666666663,0.4444444444444444,0.0,0.29166666666666663,0.18918918918918917,0.29166666666666663,0.0,0.0,0.44928774928774934,0.4444444444444444,0.4444444444444444,0.0,0.7333333333333333,0.7333333333333333,0.24242424242424243,0.0,0.4444444444444444,0.44928774928774934,0.0,0.44928774928774934,0.0
http://cmt#AuthorNotReviewer,=,http://iasted#Renting,c,FF,0.19617224880382775,0.0,0.0,0.19617224880382775,0.4677871148459383,0.0,0.0,0.0,0.387037037037037,0.2857142857142857,0.4677871148459383,0.17647058823529416,0.4677871148459383,0.0,0.0,0.387037037037037,0.0,0.17647058823529416,0.0,0.0,0.0,0.0,0.0,0.0,0.387037037037037,0.19617224880382775,0.0,0.19617224880382775,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529416,0.2857142857142857,0.0,0.17647058823529416,0.0,0.17647058823529416,0.0,0.0,0.4677871148459383,0.0,0.2857142857142857,0.0,0.387037037037037,0.387037037037037,0.16666666666666663,0.0,0.0,0.0,0.0,0.4677871148459383,0.0
http://cmt#paperAssignmentFinalizedBy,=,http://iasted#sign,op,FF,0.23529411764705882,0.15384615384615385,0.23955558537013263,0.4737103174603175,0.4256410256410257,0.0,0.0,0.0,0.6419259259259259,1.0,0.412962962962963,0.16666666666666663,0.412962962962963,1.0,0.23955558537013263,0.6419259259259259,0.15384615384615385,0.16666666666666663,0.15384615384615385,0.15479077070411554,0.0,0.23955558537013263,0.15384615384615385,0.15384615384615385,0.6419259259259259,0.4737103174603175,0.6333333333333333,0.5460526315789473,0.0,0.0,0.0,0.55,0.15384615384615385,0.15384615384615385,0.0,0.0,0.4737103174603175,0.23955558537013263,0.1769230769230769,1.0,0.0,0.16666666666666663,0.0,0.16666666666666663,0.23955558537013263,0.0,0.5,0.15384615384615385,0.3,0.0,0.6419259259259259,0.6419259259259259,0.2666666666666666,0.0,0.15384615384615385,0.412962962962963,0.15384615384615385,0.412962962962963,0.15384615384615385
http://cmt#endReview,=,http://iasted#is_needed_for,op,FF,0.2222222222222222,0.0,0.0,0.34491596638655464,0.5133903133903134,0.0,0.0,0.0,0.6388888888888888,0.17777777777777778,0.5133903133903134,0.19999999999999996,0.5133903133903134,0.17777777777777778,0.0,0.6388888888888888,0.0,0.19999999999999996,0.0,0.22768479942193678,0.0,0.0,0.0,0.0,0.6388888888888888,0.34491596638655464,0.0,0.34491596638655464,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,0.0,0.34491596638655464,0.0,0.19999999999999996,0.17777777777777778,0.0,0.16666666666666663,0.0,0.19999999999999996,0.0,0.0,0.5133903133903134,0.0,0.17777777777777778,0.0,0.6388888888888888,0.6388888888888888,0.0,0.0,0.0,0.5133903133903134,0.0,0.5133903133903134,0.0
