left,relation,right,owl_type,match_type,path,lin,word2Vec,prefix,suffix,path_stemmed,smoaDistance,jiangConrath,umbcSim,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,hammingDistance,umbcphrasesim,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher
http://conference#Early_paid_applicant,=,http://iasted#Plenary_lecture,c,FF,0.022222222222222223,0.0,0.048860301056116794,0.1111111111111111,0.07142857142857142,0.0,0.0,0.019196802106697282,0.010200147206584612,0.07142857142857142,0.0,0.0,0.0227386262267828,0.07142857142857142
http://conference#has_a_topic_or_a_submission_contribution,=,http://iasted#sign,op,FF,0.12301587301587301,0.26844573120438503,0.23645053091409363,0.0,0.0,0.047619047619047616,0.0,0.08167316616808327,0.0,0.0,0.0,0.0,0.048515550792217255,0.25
http://conference#Track-workshop_chair,=,http://iasted#Student_registration_fee,c,FF,0.08796296296296297,0.06060724417317476,0.15375205806266998,0.13636363636363635,0.045454545454545456,0.06944444444444443,0.21185015290519882,0.06574125761417719,0.006601265321175258,0.045454545454545456,0.0,0.09090909090909094,0.0,0.045454545454545456
http://conference#gives_presentations,=,http://iasted#is_given_by,op,FF,0.0,0.0,0.1508023628606017,0.4444444444444444,0.1111111111111111,0.07738095238095238,0.4232124155003332,0.0,0.5345472432672977,0.1111111111111111,0.1111111111111111,0.0,0.9069129228591919,0.1111111111111111
http://conference#Committee,=,http://iasted#Card,c,FF,0.07142857142857142,0.0,0.0,0.25,0.0,0.0,0.050000000000000044,0.06064563270710366,0.0,0.0,0.0,0.11111111111111116,0.0,0.0
http://conference#Chair,=,http://iasted#Student_registration_fee,c,FF,0.08796296296296297,0.06060724417317476,0.15375205806266998,0.0,0.045454545454545456,0.06944444444444443,0.0,0.06574125761417719,0.006601265321175258,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456
http://conference#Conference_volume,=,http://iasted#Invitation_letter,c,FF,0.19444444444444445,0.18001728742126424,0.37898536490739665,0.0,0.125,0.045454545454545456,0.0,0.12700382770345311,0.04991428996436298,0.125,0.0,0.0,0.17126885056495667,0.125
http://conference#reviews,=,http://iasted#is_occupied_by,op,FF,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333
http://conference#Written_contribution,=,http://iasted#Refusing_manuscript,c,FF,0.045454545454545456,0.03907242833383423,0.37185634777559323,0.05263157894736842,0.05555555555555555,0.0,0.0,0.02718992096355465,0.09891488030552864,0.05555555555555555,0.05555555555555555,0.052631578947368474,0.19061414897441864,0.05555555555555555
http://conference#has_a_commtitee,=,http://iasted#is_sent_before,op,FF,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.15384615384615385,0.0,0.08333333333333333
