left,relation,right,owl_type,match_type,wuPalmerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,ngramDistance,wuPalmer,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,path,lin,equalSimilarityStemmed,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasure,word2Vec,level2_jara_winkler,prefix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,jaccard,suffix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,umbcSim,soft_tfidf_jaro,fuzzydice,fuzzycosine,wuPalmerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,mongeElkan,simple_tfidf,fuzzyjaccard,levenshteinDistance,hammingDistance,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,equalDistance,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,subStringDistance,umbcphrasesim,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroMeasure,ngramDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher
http://ekaw#technicallyOrganises,=,http://sigkdd#holded_by,op,FF,0.2222222222222222,0.0,0.2222222222222222,0.5129385964912281,0.0,0.0,0.0,0.47849927849927854,0.5129385964912281,0.5129385964912281,0.16415601584949827,0.47849927849927854,0.0,0.0,0.4560157259429289,0.0,0.0,0.0,0.47849927849927854,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.17777777777777778,0.0,0.0,0.1875,0.0,0.5129385964912281,0.0,0.47849927849927854,0.47849927849927854,0.0,0.0,0.5129385964912281,0.0,0.5129385964912281,0.0
http://ekaw#PC_Chair,=,http://sigkdd#Committee,c,FF,0.19523809523809524,0.0,0.19523809523809524,0.49074074074074076,0.0,0.0,0.0,0.5683333333333334,0.49074074074074076,0.49074074074074076,0.3212479434620481,0.5683333333333334,0.0,0.0,0.33455876325780604,0.0,0.0,0.0,0.5683333333333334,0.19523809523809524,0.0,0.19523809523809524,0.0,0.0,0.0,0.0,0.0,0.19523809523809524,0.0,0.0,0.0,0.0,0.0,0.49074074074074076,0.0,0.5683333333333334,0.5683333333333334,0.0,0.23322218656539917,0.49074074074074076,0.0,0.49074074074074076,0.0
http://ekaw#Camera_Ready_Paper,=,http://sigkdd#Best_Applications_Paper_Award,c,FF,0.8392185214166639,0.21052631578947367,0.8392185214166639,0.0,0.4729896125116713,0.3079429245017184,0.25,0.6966666666666668,0.0,0.0,0.5001693454187284,0.6966666666666668,0.0,0.21052631578947367,0.4336771580811901,0.16666666666666666,0.19230769230769232,0.21052631578947367,0.6966666666666668,0.8392185214166639,0.33456486042692934,0.8392185214166639,0.36876676269957487,0.33110688207671046,0.0,0.2857142857142857,0.2886751345948129,0.8392185214166639,0.3333333333333333,0.0,0.16666666666666666,0.2692307692307693,0.0,0.0,0.0,0.0,0.6966666666666668,0.23809523809523814,0.0,0.0,0.21052631578947367,0.0,0.21052631578947367
http://ekaw#SC_Member,=,http://sigkdd#Hotel,c,FF,0.4375,0.0,0.4375,0.43703703703703706,0.0,0.0,0.0,0.22777777777777777,0.43703703703703706,0.43703703703703706,0.0,0.22777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.22777777777777777,0.4375,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.4375,0.32,0.0,0.0,0.0,0.0,0.43703703703703706,0.0,0.22777777777777777,0.22777777777777777,0.15384615384615385,0.0,0.43703703703703706,0.0,0.43703703703703706,0.0
http://ekaw#Negative_Review,=,http://sigkdd#Place,c,FF,0.29166666666666663,0.0,0.29166666666666663,0.5111111111111111,0.15000000000000002,0.0,0.0,0.5027777777777778,0.5111111111111111,0.5111111111111111,0.0,0.5027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.5027777777777778,0.29166666666666663,0.0,0.29166666666666663,0.0,0.0,0.0,0.0,0.0,0.29166666666666663,0.24,0.0,0.0,0.0,0.0,0.5111111111111111,0.0,0.5027777777777778,0.5027777777777778,0.0,0.0,0.5111111111111111,0.0,0.5111111111111111,0.0
http://ekaw#paperPresentedAs,=,http://sigkdd#searched_by,op,FF,0.0,0.0,0.0,0.5574074074074075,0.0,0.0,0.0,0.4513558201058201,0.5574074074074075,0.5574074074074075,0.0,0.4513558201058201,0.0,0.0,0.0,0.0,0.0,0.0,0.4513558201058201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.25,0.0,0.3847222222222222,0.0,0.4513558201058201,0.4513558201058201,0.15384615384615385,0.0,0.5574074074074075,0.0,0.5574074074074075,0.0
http://ekaw#Neutral_Review,=,http://sigkdd#Committee,c,FF,0.26900584795321636,0.0,0.26900584795321636,0.5158730158730158,0.0,0.0,0.0,0.4751984126984127,0.5158730158730158,0.5158730158730158,0.1967455973360497,0.4751984126984127,0.0,0.0,0.17999702789259397,0.0,0.0,0.0,0.4751984126984127,0.26900584795321636,0.0,0.26900584795321636,0.0,0.0,0.0,0.0,0.0,0.26900584795321636,0.17777777777777778,0.0,0.0,0.15384615384615385,0.0,0.5158730158730158,0.0,0.4751984126984127,0.4751984126984127,0.0,0.25155386328697205,0.5158730158730158,0.0,0.5158730158730158,0.0
http://ekaw#OC_Chair,=,http://sigkdd#Listener,c,FF,0.23809523809523808,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.22777777777777777,0.0,0.0,0.0,0.22777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.22777777777777777,0.23809523809523808,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22777777777777777,0.0,0.0,0.0,0.0,0.0,0.0
http://ekaw#partOf,=,http://sigkdd#submit_until,op,FF,0.25,0.0,0.25,0.4166666666666667,0.0,0.0,0.0,0.24166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.24166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.24166666666666667,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.26666666666666666,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.24166666666666667,0.24166666666666667,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0
http://ekaw#heldIn,=,http://sigkdd#award,op,FF,0.0,0.0,0.0,0.45555555555555555,0.0,0.0,0.0,0.24166666666666667,0.45555555555555555,0.45555555555555555,0.0,0.24166666666666667,0.0,0.0,0.1955129375595861,0.0,0.16666666666666666,0.0,0.24166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.45555555555555555,0.0,0.24166666666666667,0.24166666666666667,0.18181818181818188,0.0,0.45555555555555555,0.0,0.45555555555555555,0.0
http://ekaw#Late-Registered_Participant,=,http://sigkdd#Sponzor,c,FF,0.0,0.0,0.0,0.39377289377289376,0.0,0.0,0.0,0.0,0.39377289377289376,0.39377289377289376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37142857142857144,0.0,0.0,0.0,0.0,0.39377289377289376,0.0,0.0,0.0,0.0,0.0,0.39377289377289376,0.0,0.39377289377289376,0.0
http://ekaw#Camera_Ready_Paper,=,http://sigkdd#Organizing_Committee_member,c,FF,0.6345156191131424,0.0,0.6345156191131424,0.0,0.15241841491841493,0.0,0.0,0.3814814814814815,0.0,0.0,0.0,0.3814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.3814814814814815,0.6345156191131424,0.0,0.6345156191131424,0.0,0.0,0.0,0.0,0.0,0.6345156191131424,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.3814814814814815,0.3814814814814815,0.0,0.0,0.0,0.0,0.0,0.0
http://ekaw#Assigned_Paper,=,http://sigkdd#Fee,c,FF,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.19626418484768426,0.0,0.0,0.0,0.0,0.16759867418185076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.3333333333333333,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
