left,relation,right,owl_type,match_type,wuPalmerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,ngramDistance,wuPalmer,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,path,lin,equalSimilarityStemmed,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasure,word2Vec,level2_jara_winkler,prefix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,jaccard,suffix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,umbcSim,soft_tfidf_jaro,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,fuzzydice,fuzzycosine,wuPalmerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,mongeElkan,simple_tfidf,fuzzyjaccard,levenshteinDistance,hammingDistance,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,equalDistance,subStringDistance,umbcphrasesim,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroMeasure,ngramDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher
http://cmt#readByReviewer,=,http://confOf#hasTopic,op,FF,0.21052631578947367,0.0,1.0,0.46428571428571425,0.2656542531542531,0.0,0.0,0.46428571428571425,0.46428571428571425,0.39161740660287303,0.43472222222222223,0.0,0.0,0.4249754801246021,0.0,0.0,0.0,1.0,0.0,0.37265512265512263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.275,0.0,0.0,0.0,0.0,0.44166666666666665,0.0,0.0,0.0,0.0,0.0,0.46428571428571425,0.0,0.46428571428571425,0.0
http://cmt#Chairman,=,http://confOf#Student,c,FF,0.7619047619047619,0.0,0.7619047619047619,0.4226190476190476,0.16666666666666666,0.2301662326372129,0.0,0.4226190476190476,0.4226190476190476,0.0,0.4226190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.4226190476190476,0.0,0.0,0.0,0.0,0.0,0.4226190476190476,0.0,0.4226190476190476,0.0
http://cmt#ProgramCommitteeMember,=,http://confOf#Administrative_event,c,FF,0.43131868131868134,0.0,0.43131868131868134,0.5456228956228957,0.0,0.1976971148368237,0.0,0.38169590643274853,0.5456228956228957,0.44414203765570354,0.19444444444444445,0.0,0.19148936170212766,0.6058863297027313,0.0,0.0,0.0,0.40043207566427375,0.0,0.43131868131868134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43131868131868134,0.0,0.0,0.0,0.18181818181818177,0.0,0.5456228956228957,0.0,0.0,0.0,0.15803636610507965,0.0,0.5456228956228957,0.0,0.5456228956228957,0.0
http://cmt#Conference,=,http://confOf#Event,c,FF,0.46153846153846156,0.0,0.46153846153846156,0.3666666666666667,0.0,0.0,0.0,0.22592592592592595,0.3666666666666667,0.42486431190452906,0.41111111111111115,0.0,0.0,0.43887609534919414,0.0,0.2,0.0,0.46153846153846156,0.0,0.46153846153846156,0.0,0.31996873021125793,0.0,0.15,0.2,0.0,0.0,0.46153846153846156,0.48,0.0,0.0,0.30000000000000004,0.0,0.3666666666666667,0.2,0.0,0.2666666666666666,0.29714179039001465,0.2,0.3666666666666667,0.0,0.3666666666666667,0.0
http://cmt#Reviewer,=,http://confOf#Registration_of_participants_event,c,FF,0.0,0.0,0.0,0.6313725490196078,0.0,0.0,0.0,0.6313725490196078,0.6313725490196078,0.0,0.7777777777777777,0.0,0.0,0.22571983122958786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.16129032258064513,0.0,0.6313725490196078,0.0,0.0,0.0,0.0,0.0,0.6313725490196078,0.0,0.5392156862745098,0.0
http://cmt#ConferenceMember,=,http://confOf#Event,c,FF,0.3557692307692308,0.0,0.3557692307692308,0.3416666666666666,0.0,0.0,0.0,0.3416666666666666,0.3416666666666666,0.3136803957248667,0.42500000000000004,0.0,0.0,0.3444385793239623,0.0,0.0,0.0,0.3557692307692308,0.0,0.3557692307692308,0.0,0.18037014827132225,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.1875,0.0,0.3416666666666666,0.0,0.0,0.19047619047619047,0.2565004527568817,0.0,0.0,0.0,0.3416666666666666,0.0
http://cmt#maxPapers,=,http://confOf#hasEmail,dp,FF,0.6989879109538552,0.0,0.6989879109538552,0.5748847926267281,0.18554980966745674,0.0,0.0,0.5748847926267281,0.5748847926267281,0.20980528268892823,0.6222222222222221,0.25,0.0,0.20190174238960762,0.0,0.0,0.0,0.6989879109538552,0.3142843779232929,0.6989879109538552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989879109538552,0.2857142857142857,0.0,0.0,0.19354838709677424,0.0,0.5909090909090908,0.3333333333333333,0.0,0.23529411764705888,0.21761544048786163,0.0,0.5748847926267281,0.0,0.5276497695852534,1.0
http://cmt#assignedByAdministrator,=,http://confOf#hasCity,op,FF,0.5333333333333333,0.0,0.8693105312300359,0.3450854700854701,0.18353174603174602,0.337630688943944,0.0,0.5817805383022775,0.5817805383022775,0.26773305645376333,0.40879629629629627,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.8693105312300359,0.0,0.8020050125313283,0.15041367624641364,0.0,0.0,0.0,0.0,0.0,0.0,0.8693105312300359,0.34285714285714286,0.0,0.0,0.22580645161290325,0.0,0.4423076923076923,0.0,0.0,0.0,0.15594159066677094,0.25,0.5817805383022775,0.0,0.5817805383022775,0.0
http://cmt#Paper,=,http://confOf#Science_Worker,c,FF,0.33333333333333337,0.0,0.33333333333333337,0.4238095238095238,0.0,0.0,0.0,0.4238095238095238,0.4238095238095238,0.0,0.48333333333333334,0.0,0.0,0.0,0.0,0.4,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.33333333333333337,0.4,0.0,0.0,0.15384615384615385,0.0,0.4238095238095238,0.4,0.0,0.2222222222222222,0.0,0.4,0.4238095238095238,0.0,0.4238095238095238,0.0
http://cmt#ProgramCommittee,=,http://confOf#Chair_PC,c,FF,0.4005012531328321,0.0,0.4005012531328321,0.40972222222222215,0.0,0.0,0.0,0.40972222222222215,0.40972222222222215,0.43792969145994676,0.5939285714285714,0.0,0.0,0.38647817480220614,0.0,0.0,0.0,0.4005012531328321,0.0,0.4005012531328321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4005012531328321,0.0,0.0,0.0,0.0,0.0,0.40972222222222215,0.0,0.0,0.0,0.0,0.0,0.40972222222222215,0.0,0.40972222222222215,0.0
