left,relation,right,owl_type,match_type,wuPalmerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,ngramDistance,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,wuPalmer,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,path,lin,equalSimilarityStemmed,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,mongeElkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,jaroWinklerMeasure,mongeElkandeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,word2Vec,level2_jara_winkler,prefix,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,jaccard,word2VecdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,umbcSim,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,soft_tfidf_jaro,mongeElkandeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,fuzzydice,fuzzycosine,wuPalmerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,word2VecdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,mongeElkan,simple_tfidf,equalDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,levenshteinDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,fuzzyjaccard,levenshteinDistance,word2VecdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,hammingDistance,equalDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,suffixdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,mongeElkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,equalDistance,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,subStringDistance,umbcphrasesim,suffixdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jaroMeasure,ngramDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher
http://confOf#Reviewing_event,=,http://iasted#Shuttle_bus,c,FF,0.2583333333333333,0.0,0.0,0.2583333333333333,0.4383838383838384,0.0,0.0,0.0,0.20899470899470898,0.0,0.4383838383838384,0.0,0.4383838383838384,0.0,0.0,0.20899470899470898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20899470899470898,0.2583333333333333,0.0,0.2583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4383838383838384,0.0,0.0,0.0,0.20899470899470898,0.20899470899470898,0.0,0.0,0.0,0.4383838383838384,0.0,0.4383838383838384,0.0
http://confOf#hasCountry,=,http://iasted#write,op,FF,0.4,0.34782608695652173,0.5823378577413093,0.6176470588235294,0.7658730158730158,0.5357142857142857,0.5,0.3333333333333333,0.6772486772486772,0.5454545454545454,0.8147727272727273,0.4375,0.8147727272727273,0.5454545454545454,0.5823378577413093,0.6772486772486772,0.5454545454545454,0.4375,0.34782608695652173,0.0,0.7342799129875844,0.25,0.5823378577413093,0.0,0.34782608695652173,0.6772486772486772,0.6176470588235294,0.6786303630363036,0.6176470588235294,0.5569559546084987,0.5156114902347326,0.0,0.2957186153700087,0.3,0.0,0.0,0.4,0.4082482904638631,0.6176470588235294,0.5823378577413093,0.4375,0.5454545454545454,0.2957186153700087,0.0,0.4375,0.25,0.4375,0.5823378577413093,0.375,0.0,0.8147727272727273,0.0,0.6333333333333333,0.0,0.6772486772486772,0.6772486772486772,0.4444444444444444,0.5570288896560669,0.0,0.8147727272727273,0.34782608695652173,0.6912878787878788,0.34782608695652173
http://confOf#Topic,=,http://iasted#Book_proceeding,c,FF,0.3176470588235294,0.0,0.37672714994667855,0.3176470588235294,0.0,0.0,0.0,0.0,0.565079365079365,0.32,0.0,0.2142857142857143,0.0,0.32,0.37672714994667855,0.565079365079365,0.0,0.2142857142857143,0.0,0.0,0.2948023230118703,0.0,0.37672714994667855,0.0,0.0,0.565079365079365,0.3176470588235294,0.0,0.3176470588235294,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.3176470588235294,0.37672714994667855,0.2142857142857143,0.32,0.0,0.0,0.2142857142857143,0.0,0.2142857142857143,0.37672714994667855,0.0,0.0,0.0,0.0,0.32,0.0,0.565079365079365,0.565079365079365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://confOf#Chair_PC,=,http://iasted#Double_hotel_room,c,FF,0.8971139971139971,0.0,0.2770392480145758,0.8971139971139971,0.3946078431372549,0.18994708994708995,0.2263113620940286,0.0,0.2333333333333333,0.275,0.3946078431372549,0.0,0.3946078431372549,0.275,0.2770392480145758,0.2333333333333333,0.0,0.0,0.0,0.0,0.36899871652344896,0.0,0.2770392480145758,0.0,0.0,0.2333333333333333,0.8971139971139971,0.0,0.8971139971139971,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.8971139971139971,0.2770392480145758,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.2770392480145758,0.0,0.0,0.3946078431372549,0.0,0.275,0.0,0.2333333333333333,0.2333333333333333,0.0,0.0,0.0,0.3946078431372549,0.0,0.3946078431372549,0.0
http://confOf#Regular,=,http://iasted#Time_zone,c,FF,0.0,0.0,0.0,0.0,0.41798941798941797,0.0,0.0,0.0,0.46428571428571425,0.0,0.41798941798941797,0.0,0.41798941798941797,0.0,0.0,0.46428571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46428571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41798941798941797,0.0,0.0,0.0,0.46428571428571425,0.46428571428571425,0.0,0.0,0.0,0.41798941798941797,0.0,0.41798941798941797,0.0
http://confOf#Workshop,=,http://iasted#Departure_tax,c,FF,0.2361111111111111,0.0,0.0,0.2361111111111111,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2361111111111111,0.0,0.2361111111111111,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://confOf#Author,=,http://iasted#Presenter_state,c,FF,0.6605263157894736,0.0,0.3175051890752278,0.6605263157894736,0.0,0.23809523809523808,0.0,0.0,0.5555555555555555,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.3175051890752278,0.5555555555555555,0.0,0.0,0.0,0.0,0.41421215553804286,0.0,0.3175051890752278,0.0,0.0,0.5555555555555555,0.6605263157894736,0.0,0.6605263157894736,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.6605263157894736,0.3175051890752278,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.3175051890752278,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.5555555555555555,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://confOf#Poster,=,http://iasted#State,c,FF,0.26666666666666666,0.0,0.0,0.26666666666666666,0.7000000000000001,0.0,0.0,0.0,0.7000000000000001,0.52,0.7000000000000001,0.33333333333333337,0.7000000000000001,0.52,0.0,0.7000000000000001,0.3333333333333333,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.7000000000000001,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.52,0.3333333333333333,0.3333333333333333,0.0,0.0,0.26666666666666666,0.0,0.33333333333333337,0.52,0.0,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0,0.7000000000000001,0.3333333333333333,0.52,0.0,0.7000000000000001,0.7000000000000001,0.36363636363636365,0.0,0.3333333333333333,0.7000000000000001,0.0,0.7000000000000001,0.0
http://confOf#City,=,http://iasted#Conference_activity,c,FF,0.17424242424242425,0.0,0.0,0.17424242424242425,0.4907894736842105,0.0,0.0,0.0,0.7222222222222222,0.75,0.4907894736842105,0.2222222222222222,0.4907894736842105,0.75,0.0,0.7222222222222222,0.25,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.7222222222222222,0.17424242424242425,0.5630781499202552,0.17424242424242425,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.17424242424242425,0.0,0.2222222222222222,0.75,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.4907894736842105,0.75,0.75,0.0,0.7222222222222222,0.7222222222222222,0.2727272727272727,0.0,0.75,0.4907894736842105,0.0,0.43421052631578944,0.0
http://confOf#Member,=,http://iasted#Session_chair,c,FF,0.32727272727272727,0.0,0.38290018506107754,0.32727272727272727,0.41452991452991456,0.0,0.0,0.0,0.45555555555555555,0.26666666666666666,0.41452991452991456,0.16666666666666663,0.41452991452991456,0.26666666666666666,0.38290018506107754,0.45555555555555555,0.0,0.16666666666666663,0.0,0.0,0.34512605567430144,0.0,0.38290018506107754,0.16666666666666666,0.0,0.45555555555555555,0.32727272727272727,0.0,0.32727272727272727,0.0,0.1563856452703476,0.0,0.0,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.38290018506107754,0.16666666666666663,0.26666666666666666,0.0,0.0,0.16666666666666663,0.0,0.16666666666666663,0.38290018506107754,0.0,0.0,0.41452991452991456,0.16666666666666666,0.26666666666666666,0.0,0.45555555555555555,0.45555555555555555,0.0,0.0,0.16666666666666666,0.41452991452991456,0.0,0.41452991452991456,0.0
