left,relation,right,owl_type,match_type,wuPalmerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,ngramDistance,wuPalmer,jiangConrath_stemmed,lin_stemmed,lin,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2Vec,level2_jara_winkler,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,suffix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,level2_jaro,path_stemmed,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,umbcSim,soft_tfidf_jaro,wuPalmerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,simple_tfidf,equalDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,wuPalmer_stemmed,jaro_winkler_tfidf,equalDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,umbcphrasesim,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher
http://edas#ComputerNetworksTopic,=,http://ekaw#Rejected_Paper,c,FF,0.23611111111111108,0.0,0.23611111111111108,0.0,0.0,0.0,0.34722222222222215,0.0,0.34722222222222215,0.0,0.0,0.0,0.0,0.34722222222222215,0.34722222222222215,0.15595238095238095,0.23611111111111108,0.0,0.23611111111111108,0.0,0.0,0.0,0.23611111111111108,0.0,0.0,0.4888888888888889,0.0,0.0,0.34722222222222215,0.34722222222222215,0.0,0.48412698412698413,0.0,0.0
http://edas#ComputerNetworksOpticalTopic,=,http://ekaw#Individual_Presentation,c,FF,0.3629490392648287,0.0,0.3629490392648287,0.0,0.0,0.0,0.3686507936507937,0.3433400321161856,0.3686507936507937,0.0,0.21345518080257236,0.0,0.0,0.3686507936507937,0.3686507936507937,0.0,0.3629490392648287,0.0,0.3629490392648287,0.0,0.0,0.0,0.3629490392648287,0.0,0.0,0.25,0.0,0.0,0.3686507936507937,0.3686507936507937,0.0,0.0,0.0,0.0
http://edas#PersonalReviewHistory,=,http://ekaw#Research_Topic,c,FF,0.8700103388183883,0.0,0.8700103388183883,0.14536646808696885,0.23256195986517017,0.3026073921310619,0.5984126984126984,0.4337920939821605,0.5984126984126984,0.0,0.36313818666237524,0.0,0.0,0.5984126984126984,0.5734126984126985,0.16616161616161618,0.2091346153846154,0.0,0.8700103388183883,0.12038026884339938,0.0,0.0,0.8700103388183883,0.0,0.0,0.48478835978835977,0.0,0.0,0.5984126984126984,0.5984126984126984,0.1796169877052307,0.0,0.0,0.0
http://edas#ComputerNetworksAapplicationsTopic,=,http://ekaw#Negative_Review,c,FF,0.29638157894736844,0.0,0.29638157894736844,0.0,0.0,0.0,0.3977029914529915,0.0,0.3977029914529915,0.0,0.0,0.0,0.0,0.3977029914529915,0.37686965811965817,0.0,0.29638157894736844,0.20157705334462328,0.29638157894736844,0.0,0.0,0.0,0.29638157894736844,0.0,0.0,0.1875,0.0,0.0,0.3977029914529915,0.3977029914529915,0.0,0.0,0.0,0.0
http://edas#SatelliteAndSpaceCommunicationsTopic,=,http://ekaw#Multi-author_Volume,c,FF,0.4649350649350649,0.0,0.4649350649350649,0.0,0.0,0.0,0.5087301587301587,0.21434637224150127,0.5087301587301587,0.0,0.15901703479885643,0.0,0.0,0.5087301587301587,0.49873015873015875,0.0,0.4649350649350649,0.0,0.4649350649350649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087301587301587,0.0,0.0,0.0,0.0
http://edas#AccpetIfRoomRating,=,http://ekaw#Organising_Agency,c,FF,0.1793372319688109,0.0,0.1793372319688109,0.0,0.0,0.0,0.24999999999999994,0.0,0.24999999999999994,0.0,0.0,0.1875,0.0,0.24999999999999994,0.23888888888888887,0.0,0.1793372319688109,0.24540828989823782,0.1793372319688109,0.0,0.0,0.0,0.1793372319688109,0.0,0.0,0.0,0.0,0.0,0.24999999999999994,0.24999999999999994,0.0,0.471677559912854,0.0,0.0
http://edas#ComputerNetworksTopic,=,http://ekaw#Paper,c,FF,0.23611111111111108,0.0,0.23611111111111108,0.0,0.0,0.0,0.35370370370370363,0.18372608671018228,0.35370370370370363,0.0,0.13289760784605206,0.0,0.0,0.35370370370370363,0.35370370370370363,0.0,0.23611111111111108,0.0,0.23611111111111108,0.0,0.0,0.0,0.23611111111111108,0.0,0.0,0.2222222222222222,0.0,0.0,0.35370370370370363,0.35370370370370363,0.13004997372627258,0.0,0.0,0.0
http://edas#Country,=,http://ekaw#SC_Member,c,FF,0.225,0.0,0.225,0.0,0.0,0.0,0.5476190476190476,0.0,0.5476190476190476,0.0,0.2026971507008116,0.14285714285714285,0.0,0.5476190476190476,0.5476190476190476,0.0,0.225,0.0,0.225,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.5476190476190476,0.5476190476190476,0.0,0.5026455026455027,0.0,0.0
http://edas#AccpetIfRoomRating,=,http://ekaw#Late-Registered_Participant,c,FF,0.23015873015873015,0.0,0.23015873015873015,0.0,0.0,0.0,0.4476388888888889,0.0,0.4476388888888889,0.0,0.23109304450086343,0.0,0.0,0.4476388888888889,0.42847222222222225,0.0,0.23015873015873015,0.0,0.23015873015873015,0.0,0.0,0.0,0.23015873015873015,0.0,0.0,0.0,0.0,0.0,0.0,0.4476388888888889,0.0,0.5467236467236467,0.0,0.0
http://edas#relatesTo,=,http://ekaw#heldIn,op,FF,0.4137685843568197,0.0,0.0,0.0,0.0,0.0,0.2976190476190476,0.0,0.2976190476190476,0.0,0.0,0.0,0.0,0.2976190476190476,0.2976190476190476,0.0,0.0,0.0,0.4725274725274725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976190476190476,0.2976190476190476,0.0,0.5185185185185185,0.0,0.0
http://edas#isMemberOf,=,http://ekaw#technicallyOrganises,op,FF,0.0,0.0,0.0,0.0,0.0,0.0,0.3373496873496873,0.11460664054579518,0.3373496873496873,0.0,0.16451368412758088,0.0,0.0,0.3373496873496873,0.32227032227032226,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373496873496873,0.3373496873496873,0.0,0.3666666666666667,0.0,0.0
