"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","pc_8","pc_9","pc_10","outlier"
"http://conference#Steering_committee","=","http://edas#IndustryOrganization","c",-0.8412932437201626,0.08057475070103526,0.5832120706751236,-0.5509230327075944,-0.5748357240646128,-0.1281158829403023,-0.008782743861590614,0.21034740546444342,0.029660673394078296,-0.3166962165469832,0.09462451407327677
"http://conference#Person","=","http://edas#MealEvent","c",-0.8367982338022965,-0.2421542619552709,0.28497108063270815,-0.5595154605385805,-0.45757259692523633,-0.13211619546765718,0.08577632308664129,-0.04196979629247388,0.13009353683261637,-0.25758737462150505,0.0
"http://conference#Conference_applicant","=","http://edas#ComputerNetworksOpticalTopic","c",-0.820218470482478,-0.5437319737685444,0.1632062029661281,-0.44727863392907363,-0.47952974976094886,-0.24522757612633794,0.06736187228066415,-0.08978603235490068,0.12960921788399937,-0.3022236476380168,0.0
"http://conference#Steering_committee","=","http://edas#SatelliteAndSpaceCommunicationsTopic","c",-0.8104453806172167,-0.21948155111715506,-0.14422460024334083,-0.5971918756822505,-0.4684803510319132,-0.39065151308823154,0.05857436672212568,0.034067696600655006,0.13209623943335957,-0.06272307452543613,0.0
"http://conference#Program_committee","=","http://edas#WeekRejectRating","c",-0.8577147180214855,-0.15168570715286978,0.3815379815828266,-0.5090315861128661,-0.5288041342264093,-0.1904306748461273,0.19749908039654862,0.05373620629977016,0.18046706795922973,-0.28484411621758277,0.0
"http://conference#Contribution_1th-author","=","http://edas#ContactInformation","c",-0.7366103867197074,-0.4675565145663233,0.25504757795308275,-0.21296990565144025,-0.698007563954582,-0.35979311152836213,0.21031245177479763,-0.0721271556829679,0.12191580125925072,-0.21682052833734544,0.08543233191542476
"http://conference#Conference_proceedings","=","http://edas#Conference","c",-0.04840436101730394,-0.0657325756148277,0.23966900682061731,-0.5776258453670013,-0.7752951108777034,0.059135721535384045,-0.43567884961577985,0.5509338610804657,-0.19785464660769692,-0.6607613187799842,0.7465967089237002
"http://conference#Conference_document","=","http://edas#Presenter","c",-0.8229282752440876,-0.3495368693055281,0.11065222385263573,-0.5132742814473534,-0.5209183477803436,-0.035219071712510486,0.10757605596539399,-0.21398839525058844,-0.3215233996552491,-0.11930023230495734,0.0
"http://conference#Abstract","=","http://edas#SatelliteAndSpaceCommunicationsTopic","c",-0.8584040133630337,-0.1785470832568109,0.24694567830429892,-0.6173491308470165,-0.46443692890773725,-0.048667366852268135,0.15876337840774024,0.09052154020737535,0.09284771332673691,-0.09204713866054381,0.0
"http://conference#Track-workshop_chair","=","http://edas#ConferenceChair","c",-0.501922190819958,-0.07536648035502747,0.04807284698479464,-0.5271380509756358,-0.43719884522865915,0.33227046093922374,-0.18109956537127136,-0.057048279508667754,0.36112176733647905,-0.7466272487853727,0.3953536272624997
"http://conference#Paper","=","http://edas#AccpetIfRoomRating","c",-0.8483159626985229,-0.3978054410462175,0.15362315746882382,-0.5770238708770694,-0.4435844347007605,0.02777348415237091,0.10102445293824847,0.08845739842422717,0.02585046778765343,-0.0651557868522632,0.0
"http://conference#Active_conference_participant","=","http://edas#ConferenceVenuePlace","c",-0.5680807078076437,-0.38722197745400266,0.06399033402444476,-0.5767877783670542,-0.6050499043592047,-0.19996444204207475,0.0388090725245962,0.06967992343414564,-0.1170206500456209,-0.28841530008281346,0.0
