"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","outlier"
"http://confOf#Member_PC","=","http://ekaw#Submitted_Paper","c",0.8913466381974355,-0.6849969448402284,-0.11380760369664833,-0.3257873509708899,0.23202220836150622,0.05403215912882221,0.15793812834706544
"http://confOf#Student","=","http://ekaw#Late-Registered_Participant","c",0.9792720637141384,-0.40915604894642554,-0.22523988053674834,-0.05886381040941295,0.29191374155996463,0.28241854024510316,0.24361967388966466
"http://confOf#Conference","=","http://ekaw#Agency_Staff_Member","c",0.915733249029081,0.11983110542849931,0.0857150566590845,0.4660942468763954,0.2859641292779951,-0.20207371504443383,0.0801513109668699
"http://confOf#Reviewing_event","=","http://ekaw#Session","c",0.1647523242196524,-0.5009674296736788,0.6785539361649588,0.20188606671778372,-0.04930907317212391,0.47977468437751813,0.35278225886095693
"http://confOf#Author","=","http://ekaw#Student","c",0.4666894548674214,0.21578568567229364,0.09085328794444317,1.5729721474066505,0.022836654361381967,-0.3215587664432962,0.8163672668534669
"http://confOf#Person","=","http://ekaw#Flyer","c",0.9344215746929728,-0.5894319166188735,-0.036217216742095604,-0.06229972586568632,0.22505328171073152,0.24444556820541047,0.17235004723386238
"http://confOf#Conference","=","http://ekaw#SC_Member","c",0.7867691117204512,-0.5031167885612933,-0.0046623788030278335,-0.04324078202584232,0.14740499434016824,0.2838729326361039,0.03172908247233275
"http://confOf#Organization","=","http://ekaw#Event","c",0.6057312003647577,0.04561707354582539,0.1064282749007449,0.9986462101069044,-0.01190556666566584,0.18034684987398716,0.22098118737502326
"http://confOf#Conference","=","http://ekaw#Rejected_Paper","c",0.6765143067616317,-0.6443443415588683,0.08918846079359895,-0.2786132318947759,-0.060826678662575684,0.24627274073444985,0.0
"http://confOf#Science_Worker","=","http://ekaw#Negative_Review","c",0.7941349047753666,-0.8432081883983757,0.15792780257736916,0.28241322929056356,-0.24480847947646617,-0.28820940775685916,0.1681124651478051
"http://confOf#Short_paper","=","http://ekaw#Industrial_Paper","c",2.7558284050193693,0.6471515573015367,0.5764921040764004,-0.3959197031884252,0.1657903925331141,0.2937671732607773,0.4589150056901147
"http://confOf#Volunteer","=","http://ekaw#Conference_Proceedings","c",0.770859436926089,-0.7097671588061834,-0.23655595878044097,-0.2102015632706308,-0.03824349703250992,0.014954010681031603,0.05670282163309659
"http://confOf#Contribution","=","http://ekaw#Negative_Review","c",0.925305370303502,-0.3663092004528024,-0.07915314268409349,0.7913532774730313,0.001799375004610972,-0.23035270334414926,0.0
"http://confOf#Camera_Ready_event","=","http://ekaw#Conference_Participant","c",-0.09741980952273704,0.5876256574573812,-0.7472349650500584,0.16093833725644505,0.17928006787858616,-0.08944064186861952,0.0
"http://confOf#Camera_Ready_event","=","http://ekaw#Research_Institute","c",0.8145506399311896,-0.7351112364609194,-0.05670475453881213,0.368668729036227,-0.2961112168407848,-0.3934903072414966,0.12552971178738592
"http://confOf#Science_Worker","=","http://ekaw#OC_Member","c",-0.1185567998671653,0.6808616400099188,-1.0479636666950722,-0.07176956245203996,0.07093493684640502,0.07919708649614426,0.0
"http://confOf#Participant","=","http://ekaw#Agency_Staff_Member","c",-0.20861145954169102,0.7920218452228528,-0.8951299798896228,0.6543832831578323,-0.27173049456923587,0.07448965450085862,0.27847984419472815
"http://confOf#Student","=","http://ekaw#Positive_Review","c",0.6964735841766616,-0.7839198671571845,-0.15556127590840801,-0.17180621349321298,-0.16089653989566843,0.02669006027731282,0.016537966451214525
"http://confOf#Tutorial","=","http://ekaw#Organisation","c",0.7160231811269548,-0.5439349561016,0.03454096945033591,0.22735754255737575,-0.067711860432685,-0.26927110770914414,0.0
"http://confOf#Scholar","=","http://ekaw#Conference_Paper","c",0.756598648256329,-0.6389315691994807,-0.08823795416397928,0.06677786268429398,-0.108962194380937,-0.133459629392082,0.03548398801053987
"http://confOf#Short_paper","=","http://ekaw#OC_Chair","c",0.8018662406567736,-0.7713566165961308,-0.12178756059653828,-0.23813281970998523,-0.05750476225157207,-0.07015247976472633,0.07568375160877516
"http://confOf#Short_paper","=","http://ekaw#Poster_Paper","c",3.4616229275381887,0.8782645577859061,0.5809819372291563,-0.12511237874011805,0.11865322587014868,0.506496991440839,1.2229826147465783
"http://confOf#Chair_PC","=","http://ekaw#PC_Member","c",2.2091070472827923,1.0573918597648346,-0.08509276879314029,0.3234771455646602,-1.06722559047953,-0.18071488824921264,1.2201686611543563
"http://confOf#Paper","=","http://ekaw#Programme_Brochure","c",0.9192891626333927,-0.44517124239702865,-0.0058626583589050235,0.13127458490231808,-0.10664920269751699,0.18551934208877108,0.0
"http://confOf#City","=","http://ekaw#Conference_Banquet","c",0.48893301329357985,-0.37978567113629186,0.027980961842655923,-0.27593474375935956,0.20463646307178024,0.13511861331760386,0.0
"http://confOf#Chair_PC","=","http://ekaw#Poster_Session","c",0.5089391887209301,-0.4674470033763593,-0.10936932295903709,-0.09810980535515627,0.04467046509507933,0.15558006312059935,0.0
