"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","pc_8","pc_9","pc_10","outlier"
"http://confOf#Student","=","http://ekaw#Late-Registered_Participant","c",-0.8069166748981267,-0.5026321638329074,-0.19404849683999548,0.39027941216520534,-0.044163576323048126,-0.2717838851873182,-0.11368739401090999,0.32301078566238806,-0.08617709997294698,-0.24940846308464604,0.0
"http://confOf#Conference","=","http://ekaw#Agency_Staff_Member","c",-0.7543735592115393,-0.24585044491457886,0.001508708029807515,0.3798337648156309,0.10792203903994069,-0.5086742220686269,-0.07653304800484428,0.320640599037024,0.004270307184990774,0.20592241622113838,0.0
"http://confOf#Author","=","http://ekaw#Student","c",-0.7938721048965561,0.08723682397349952,0.40489714044020064,0.4433019098736142,0.14164219792832156,-0.4659062188314447,-0.012358551327428025,0.41834086135569204,0.3289270727966429,0.08738752622916746,0.26484878903115916
"http://confOf#Person","=","http://ekaw#Flyer","c",-0.8203653918223859,-0.4920013002081447,-0.17906942164232087,0.421935652549861,-0.30070088940798256,-0.33987651568074095,0.018123045170557406,0.4831674754061719,0.21229163879052604,-0.28899127055673757,0.08453236344754611
"http://confOf#Conference","=","http://ekaw#SC_Member","c",-0.8216769805277606,-0.48304407003615313,-0.17308745887807864,0.2829763237915388,-0.08796716853381459,-0.2300267705574719,-0.04240568245813281,0.16581814800248318,0.05986753258482702,-0.23462498261183462,0.0
"http://confOf#Organization","=","http://ekaw#Event","c",-0.7831361686394335,-0.05674806504549679,0.23010220268963733,0.40320501912623374,-0.013398995426031068,-0.29926675941047254,-0.09693578887120802,0.38873968222046873,0.05016902862934636,0.03293822065128027,0.0
"http://confOf#Short_paper","=","http://ekaw#Industrial_Paper","c",-0.3945980009842106,-0.44662701733610544,-0.27061715978525347,0.34157106202608056,-0.16879079966072463,-0.4080800353641595,-0.3021570318390988,0.772879129012062,0.059472757523604924,0.4552012601962028,0.3989066763287883
"http://confOf#Contribution","=","http://ekaw#Negative_Review","c",-0.8000660641336452,-0.32561602927498723,0.18298171276401853,0.4009619530808093,0.1225962181176885,-0.3576627916986971,0.08499026954682054,0.20721983411657052,0.13821694352536285,-0.06919472090620327,0.0
"http://confOf#Short_paper","=","http://ekaw#Poster_Paper","c",-0.28434460819011087,-0.4781329008262658,-0.16194340297290544,0.37802439370214813,-0.07113031188990371,-0.39038126449575905,-0.6212314172132667,0.7353010873694064,0.23145774009332443,0.5055172505316636,0.5878389390887502
"http://confOf#Chair_PC","=","http://ekaw#PC_Member","c",-0.4457262029943794,0.003035989774408998,-4.2974153935282366E-5,0.6406766499628611,-0.47239023375363287,0.09903159370436687,0.5748292638632351,0.23543646424333353,0.8417830336284633,-0.03610322528547083,0.741830990045258
"http://confOf#Paper","=","http://ekaw#Programme_Brochure","c",-0.7995657864831914,-0.47629231776462677,-0.05513044320706395,0.28071356005138237,0.03308574915419138,-0.1572337579602191,-0.07794966495403166,0.10382159262004209,0.05540597450854956,-0.021381360054804288,0.0
"http://confOf#University","=","http://ekaw#Conference_Proceedings","c",-0.8175265708450713,-0.28868315056638416,0.21449717173487803,0.3599371230015411,0.17863740418000962,-0.262560164592904,0.09016051999955565,0.3374564017130959,0.16103554659689645,0.25027635441072515,0.0
"http://confOf#Working_event","=","http://ekaw#Proceedings","c",-0.7710542541674534,-0.39173508077784136,0.07308910883068087,0.38175847671501506,0.018495589588301442,-0.5069959069792302,0.0751251821600325,0.29668870801782377,0.05001237282865589,0.339833008607604,0.003106080736393513
"http://confOf#Reception","=","http://ekaw#Negative_Review","c",-0.8168198326441457,-0.5429160642442019,-0.08385869450865735,0.3756991887917649,0.18804260980846288,-0.2190775039590238,0.144755824261249,0.2780471376928606,0.17281136464386138,0.03866765662681959,0.0
"http://confOf#Regular","=","http://ekaw#Presenter","c",-0.7682219201753506,-0.46923582313787815,0.19905232913601267,0.3461983242030511,0.3472294946645742,-0.47667926359863555,-0.04616755295961017,0.28547786357205274,0.368811347053964,0.0761768052484395,0.1249362904717366
"http://confOf#Social_event","=","http://ekaw#Person","c",-0.8109445165267428,-0.4110775385536891,-0.14863832072486893,0.35488612981936574,-0.17867895799256395,-0.20468152626970637,0.14201374675947398,0.1548240033303998,0.3478545879404462,-0.21249819266978875,0.0
"http://confOf#Workshop","=","http://ekaw#Conference_Session","c",-0.7933391389066761,-0.23457186125630725,0.0457800057398321,0.25402622246569906,-0.29467503860877253,0.4271881984226078,-0.69933208116043,0.04470993605782492,-0.01973770242057793,0.26584869940519607,0.5914857231121631
