"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","pc_8","pc_9","pc_10","outlier"
"http://iasted#is_equipped_by","=","http://sigkdd#searched_by","op",-0.4363476518557865,-0.8319309933653797,0.33620503038496263,-0.6994122949336663,0.6660533438784995,0.1384345989686191,0.10404131305103181,0.29953390109689404,0.37214893849391983,0.07605423138361811,0.21123552930151668
"http://iasted#is_held_before","=","http://sigkdd#presentation","op",-0.824482975926807,-0.5642314861163391,0.6897773715685369,-0.4791840558244683,0.29678911855242207,0.03929622826927237,0.22467347311834995,0.15234321922009175,0.18130070728146985,-0.041178340799184254,0.0
"http://iasted#is_sent_after","=","http://sigkdd#submit_until","op",-0.7229068640935691,-0.4797281865315064,0.9277948129829692,0.18395676691338814,0.6219053595230506,-0.09674819033865911,0.09328863462283987,0.18300729941876592,0.823594746912367,0.3037022371583784,0.5733303474608171
"http://iasted#is_needed_for","=","http://sigkdd#presentationed_by","op",-0.7973546401536955,-0.6031587248489041,0.6942502431396416,-0.5917623514272725,0.20501169537868646,0.08227897412717566,0.2273211669400934,0.07243131953760318,0.19798698225085176,0.10076921913153192,0.0
"http://iasted#is_writen_by","=","http://sigkdd#notification_until","op",-0.8544044655441841,-0.5609585581158929,0.6458487097708754,-0.5488746465663396,0.2112630455049187,0.04031368335576713,0.2009513405306611,-0.09905555437439917,0.21987770534237217,0.0724121354637195,0.0
"http://iasted#is_held_in","=","http://sigkdd#holded_by","op",-0.7925854136354742,-0.5209628371060359,0.6627257700942395,0.07645047783287984,0.18918721732769606,-0.005984670492915067,-0.08485696010319455,-0.724334862773913,-0.5609181456600276,0.14431734632735282,0.9226912610030316
"http://iasted#speak_in","=","http://sigkdd#design","op",-0.7851211013801525,-0.4493629885798375,0.7244930966364131,-0.8129264786776189,0.2795285136593897,0.16345299731631346,0.163544610179728,-0.06496361001172524,0.27496358132021315,0.10161461919818549,0.042773216223632615
"http://iasted#send","=","http://sigkdd#submit","op",-0.5387340505432401,0.41193040013201765,0.8575461047532744,-0.7541208942092281,0.5537413459242801,0.10003167954427239,-0.08370621320380656,0.2813956032301208,-0.19230016926838622,0.8832612859294782,0.9741248882563454
"http://iasted#is_sent_after","=","http://sigkdd#searched_by","op",-0.8504256991106817,-0.5334612815947513,0.669812666777702,-0.29242392742653134,0.49163357181606027,0.11737279030691772,0.3385905315003077,0.9520639258571082,0.03192270894246674,-0.1392895951634885,0.29876980306269174
"http://iasted#is_needed_for","=","http://sigkdd#holded_by","op",-0.710871039436932,-0.6377066770209681,0.5529796551960615,-0.4579696452448019,0.1891137462013479,0.19453933713194416,0.35924784489478756,-0.19341562987467298,0.12216510461795482,0.17242529087707936,0.09090123289387397
