"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","outlier"
"http://conference#Conference","=","http://iasted#Tutorial","c",0.4305509429372745,-0.12578081252889195,0.3139221267257591,0.6911601366069601,0.049184756928228934,0.6955178116735522,0.19820123832282108,0.3145276380405515
"http://conference#Chair","=","http://iasted#IASTED_member","c",-0.6927517855185595,1.0447239735883533,-0.1448912012151419,0.306156781830102,-0.04993572951502752,0.532115293294922,-0.27680214735675024,0.2516811245596834
"http://conference#Conference_document","=","http://iasted#Hotel_presenter","c",0.9857967125419093,-0.1975575919607283,8.004843396153052E-4,0.31195510578505203,-0.29902400338808816,0.14614385532606575,-0.2593588053866732,0.1704658617343472
"http://conference#is_given_by","=","http://iasted#is_paid_with","op",1.6202064685424453,-0.19273711321116072,0.3639305633937986,-0.8509198441258019,-0.5733750508893699,1.4482255119200715,0.4765229198010983,1.2786434544427132
"http://conference#is_submitted_at","=","http://iasted#is_situated_in","op",2.8919181762709947,0.13730494928250525,-0.14069044085639082,-1.6624231393790867,-1.001949559983505,-0.42720878450441896,0.1254882157751404,1.3043595156315662
"http://conference#Poster","=","http://iasted#One_day_presenter","c",0.4574264772540729,2.0566753203161974,-0.3205988900201169,0.20378791163954552,-0.19879284542973746,-0.060343611963958765,-0.8996343069676378,1.0798498653989617
"http://conference#Chair","=","http://iasted#Conference_state","c",0.7743074666028805,-0.1582157922215781,0.12558783983581315,0.5597049946191461,-0.023071793782823244,0.28453618954859417,0.0647646755005277,0.0
"http://conference#Paper","=","http://iasted#Brief_introduction_for_Session_chair","c",-0.3304589308850701,1.2309163914673191,-0.7222703015948174,0.22641864848385249,0.3172975273388245,0.16651262064588818,-0.2490953778055004,0.130944453180312
"http://conference#invited_by","=","http://iasted#is_visited_by","op",3.466907388475191,1.1521953326303236,0.24723410667046025,-1.6146435802056258,-1.435490170984168,0.5798408051714018,-1.3414837988155282,1.8138572880410981
"http://conference#gives_presentations","=","http://iasted#is_present_in","op",2.791003361492023,0.5008815682146106,0.13053056640595606,-1.859348174949454,-0.7542253639974645,-0.09843932625377612,0.06334152527845027,1.0639658467417852
"http://conference#Program_committee","=","http://iasted#Conference_restaurant","c",0.7562528422627108,-0.19632570632121465,0.0397904519482304,0.6846631473346586,0.05707163675720362,0.10247428382961908,0.12328177918211847,0.0
"http://conference#Program_committee","=","http://iasted#Registration_fee","c",1.3377697574119412,-0.5227567159777466,-0.02154742753878333,0.3309369133789212,0.3735129032893955,0.037157336680099656,0.05634900322900463,0.35542160451930505
"http://conference#Written_contribution","=","http://iasted#Activity_before_conference","c",0.975277614296538,-0.26093730205529575,-0.07566937935324512,0.46781484608070806,-0.1923294961832378,-0.3867146122965913,0.010767569083650442,0.17693425507391514
"http://conference#Conference_contributor","=","http://iasted#One_day_presenter","c",1.317231105718845,-0.13093002197808679,-0.2796870901897159,0.1282926803168368,0.554316952891367,0.11827245675667428,0.24942726605355417,0.44701806305189395
"http://conference#Call_for_participation","=","http://iasted#Deadline_hotel_reservation","c",1.4369274375327727,-0.08867545601258081,0.3148100401741344,0.10279837938034711,-0.0019060606417803105,-0.090591633210542,-0.19872543301606255,0.26308890871494517
"http://conference#Conference_fees","=","http://iasted#One_conference_day","c",2.811675618416557,1.1011414351941577,0.782114697485829,-1.130176857628501,-0.8227760344486797,-0.6728162559782828,0.538197766183055,0.2668813194592691
"http://conference#Active_conference_participant","=","http://iasted#Introduction_of_speaker","c",0.8926839326264266,-0.2594082020171335,0.17012771861983905,0.2570239724863119,0.17350213307650822,0.08778109411385737,0.13276541185533122,0.0
"http://conference#Camera_ready_contribution","=","http://iasted#Hotel_registration_form","c",1.1691673395843083,-0.04621431581604443,0.10064002902765903,0.33049332635798534,-0.027165526215871438,-0.48070745412320603,-0.18011158385859952,0.2588486398516959
"http://conference#Conference_participant","=","http://iasted#Nonmember_registration_fee","c",0.9556427424490205,-0.3882315827840339,0.13516820140307967,0.16256191020406674,0.09948592585187885,-0.22236346786257302,0.2768700433997542,0.19066509886348815
"http://conference#Review_preference","=","http://iasted#Author_attendee_cd_registration_fee","c",0.8900379693742198,0.05602931276878918,-0.4206248262541313,0.12197984419747715,0.37528655908137376,0.22350815749378886,0.2298758446434682,0.30407790170671334
"http://conference#Conference_part","=","http://iasted#Nonmember_registration_fee","c",0.9516943520990288,-0.1205143860986104,0.10771352222150746,-0.1516146836280533,0.3789850136288343,-0.3245663624420685,0.2449281411755161,0.35316355807034905
"http://conference#Program_committee","=","http://iasted#Technical_commitee","c",2.0726665578264427,0.4015075309295055,0.058261933592435367,-0.7705647640877716,-0.9935258678312588,0.17702318907173645,-0.153759473325708,0.7395388362290582
"http://conference#Poster","=","http://iasted#Presenter_city","c",1.9516695880691064,0.15065551962046475,0.021289500190737498,-0.07136265282089277,-0.4139256178009428,-0.008777805857818056,-0.287036214286312,0.30784349376900244
