"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","pc_8","outlier"
"http://edas#SocialEvent","=","http://iasted#Conference_hall","c",0.509949296400606,-0.2686991321357407,0.46739457088058756,0.27364117673470967,0.17353866342206303,0.36129985756875477,0.1643216798623493,0.11764233312424138,0.14298061008186636
"http://edas#CallForManuscripts","=","http://iasted#Card","c",1.1699314179347486,0.08673386344645545,0.38345568395587204,-0.4043648433772095,0.5048490211047076,-0.27838523497327483,-0.6475034262019497,-0.4981316782437328,0.6568299990836428
"http://edas#MedicineTopic","=","http://iasted#Registration_form","c",0.028696644811404146,-0.60296586877956,0.5324229793472657,0.22421330780960405,0.05843422977549732,0.13913442840286575,0.3848665394863972,-0.029618822781211303,0.0
"http://edas#CommunicationTheoryTopic","=","http://iasted#Credit_card","c",0.5477409842921492,-0.3026423166767829,0.05508279198159445,0.34139395538281236,0.10737205688797852,0.008533605509772887,0.3537216357933479,-0.07192940038028349,0.0
"http://edas#ComputerNetworksSecurityTopic","=","http://iasted#Transport_vehicle","c",0.32853872339924767,-0.5604429462748262,0.0600184268663448,0.3544149406373601,-0.22446758582281784,0.014873872315852361,0.05545087150033509,0.05695014874077918,0.09766017857708476
"http://edas#CommunicationsTopic","=","http://iasted#Brief_introduction_for_Session_chair","c",-0.3548691513505532,1.2755672452550535,-0.4853157800358293,0.29988633534042947,-0.24270609940848098,-0.045817684601765885,0.08921174401293486,0.1339751579663072,0.04825545895758865
"http://edas#CallForPapers","=","http://iasted#Hotel_fee","c",0.5896387499832699,-0.14015987191400642,-0.036820308449673905,0.38984389135760406,0.22729450941581686,0.10424619716292378,-0.08203929074850544,-0.02434334857188797,0.0
"http://edas#ComputerArchitectureTopic","=","http://iasted#Author_attendee_book_registration_fee","c",0.8750271757989673,-0.5548729509112135,-0.35583941131648655,0.482165763150382,-0.10395124851444854,0.05060438374404877,0.10171236925895945,-0.0478208612371081,0.17060675209292542
"http://edas#ComputerNetworksMeasurementsTopic","=","http://iasted#Technical_commitee","c",0.6341528948481759,-0.11334948258311747,-0.3081864804424435,-0.47026738606379775,-0.15990139288371732,-0.2444605326539905,-0.12582535392693087,-0.11374131217969329,0.11036134180368062
"http://edas#FreeTimeBreak","=","http://iasted#Record_of_attendance","c",-0.4522920300056192,1.1792217523457464,-0.49489486328560617,0.6103062608513024,0.16827971517815052,0.2340160114778196,0.36996069073331894,-0.07242688085567289,0.33629260971034747
"http://edas#ConferenceSession","=","http://iasted#Author_information_form","c",0.6928611625288794,0.1031216113378824,0.019526309209195878,0.029792464484152167,0.23272753625861775,4.163661765290913E-5,0.45924593791872775,0.2799296338242229,0.19114843757342015
