"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","pc_8","pc_9","pc_10","outlier"
"http://confOf#hasVAT","=","http://edas#hasEmail","dp",-0.44163156983467466,-0.9944003388170946,-0.39963215403433805,-0.2322114699809581,0.5520588041552479,0.05224719624936047,-0.6837107578266306,-0.2384783650252954,-0.3472301576485868,-0.09750315364474416,0.279856453588854
"http://confOf#hasSurname","=","http://edas#startDate","dp",-0.7609133379796822,-0.8610076939832445,0.30779083080514824,-0.3976381260304279,0.5389746309769119,0.08379211877020509,-0.5337147656507808,-0.4557726229248591,-0.21522972412100716,-0.004019996598493503,0.006652446039602911
"http://confOf#has_title","=","http://edas#hasSubmissionDeadline","dp",-0.490562231676005,-0.8876032834555099,-0.06720263366503665,0.0010487393915719068,0.28047002086390327,-0.21217907571898187,0.06348095119358388,-0.694138407662449,-0.1532977517205748,0.10468662355316893,0.23862706984166893
"http://confOf#has_short_title","=","http://edas#hasSubmissionInstructions","dp",-0.6291338460286695,-0.8377960012785652,-0.1304273865395128,-0.04608967743271841,0.2775563692211198,0.019951447396656663,0.2504699181924863,-0.5436270272703383,-0.3375547274016174,-0.26239259744097554,0.207480472672662
"http://confOf#has_title","=","http://edas#hasEndDateTime","dp",-0.48437118080983965,-0.9208539895226485,-0.07266717428876124,-0.20732211803664835,0.4922278366602899,-0.1053993784518269,-0.13949107450704612,-0.4806696123827001,-0.24804073683140226,-0.16003118941372907,0.0
"http://confOf#hasPostalCode","=","http://edas#hasSubmissionInstructions","dp",-0.610271943851245,-0.8282350328552289,-0.09076344099306322,-0.16788584284403973,0.4154035538403891,-0.3826451352539373,-0.15235887643175694,-0.4348063451065233,-0.03113174492338089,-0.1668169539688975,0.0030097704456132357
"http://confOf#hasPhone","=","http://edas#hasLastName","dp",-0.46554005315037095,-0.8893862292918164,-0.16057038627166897,-0.4008195803852479,0.2915417235197244,-0.12089720748667698,-0.360078726877348,-0.4120082579057275,-0.09487835359196406,-0.29009272238179495,0.016205457114358723
"http://confOf#hasSurname","=","http://edas#hasEndDateTime","dp",-0.5429853671201291,-0.9243295597916011,-0.16013277790533587,-0.2965910130989483,0.5574331747456338,0.12672658258602487,-0.6849471152140237,-0.43368857436623587,-0.0037181880017628233,-0.0762779393631996,0.12635312133581333
"http://confOf#starts_on","=","http://edas#manuscriptDueOn","dp",-0.7295464073088446,-0.8530807800215798,-0.2592093509914547,-0.24811876047103298,0.4591736490970273,0.03363922431456112,0.8680192902600192,-0.8981790480907755,-0.23493206312865833,-0.4933499050993283,0.8461680446754969
"http://confOf#hasTitle","=","http://edas#registrationDueOn","dp",-0.7863115878630412,-0.7690872785686083,0.2565185554626839,-0.3273332071359867,0.5162931877324048,-0.10165127172882604,-0.4679175059177588,-0.325530021667081,-0.12343755696506775,-0.1262569010401463,0.0
