"left","relation","right","owl_type","ngramDistance","wuPalmer","path","lin","level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher","jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher","word2Vec","prefix","word2VecStemmed","jaccard","level2_monge_elkan","suffix","esaSim","needlemanWunsch2Distance","umbcSim","soft_tfidf_jaro","hammingDistance","subStringDistance","outlier"
"http://cmt#PaperFullVersion","=","http://confOf#Trip","c",-1.0,-0.3650793650793652,-0.7297619047619047,-0.8869709206995928,-0.6031746031746033,-1.0,-0.914182063305432,-0.5,-0.9840852486073951,-1.0,-0.4666666666666667,-0.875,-0.9968553677333334,-0.8571428571428572,-0.9724430913726488,-1.0,-1.0,-0.8,0.04936222369474619
"http://cmt#Author","=","http://confOf#Volunteer","c",-1.0,0.45454545454545436,-0.7142857142857142,-0.5588272880928804,0.24074074074074048,0.2407407407407407,-0.8022184879574841,-1.0,-1.0,-1.0,-0.3333333333333335,-0.6666666666666666,-0.9907830558,-0.5,-1.0,-1.0,-1.0,-0.7333333333333334,0.30839044902739565
"http://cmt#Co-author","=","http://confOf#Workshop","c",-1.0,-1.0,-1.0,-1.0,0.05555555555555536,-1.0,-0.6913291212729165,-1.0,-0.6591372642281079,-1.0,-0.16666666666666674,-0.5,-1.0,-0.25,-1.0,-1.0,-0.25,-0.5,0.7125545096787225
"http://cmt#date","=","http://confOf#has_short_title","dp",-1.0,-0.41666666666666674,-0.7916666666666666,-0.9072547200385539,0.2666666666666666,-0.12222222222222212,-0.47904608966503237,-1.0,-0.8594929104513569,-1.0,0.10000000000000009,-0.5,-0.9894966181,-0.7692307692307692,-0.8451404869556427,-1.0,-0.8666666666666667,-0.7894736842105263,0.0994570165965375
"http://cmt#name","=","http://confOf#earlyRegistration","dp",-1.0,-0.6470588235294118,-0.9166666666666666,-0.9062286001605704,-0.11111111111111116,0.07843137254901955,-0.43691850194755244,-0.5,-1.0,-1.0,-0.4,-0.5,-1.0,-0.8666666666666667,-0.886990780942142,-1.0,-0.8823529411764706,-0.8095238095238095,0.14160003168843005
"http://cmt#Conference","=","http://confOf#Banquet","c",-1.0,0.33333333333333304,-0.7142857142857142,0.10070384754004902,-0.009523809523809601,-0.009523809523809601,0.17256245483133914,-1.0,-1.0,-1.0,-0.5428571428571428,-0.7142857142857143,-0.9875264914,-0.6923076923076923,-0.41293030977249146,-1.0,-0.8,-0.7647058823529411,0.47382657033113096
"http://cmt#Reviewer","=","http://confOf#Member","c",-1.0,0.33333333333333304,-0.7777777777777778,-0.601417255524915,0.25,0.24999999999999978,-0.3681874669295494,-0.6666666666666667,-1.0,-1.0,-0.3333333333333335,-0.33333333333333337,-0.9848241244,-0.3999999999999998,-0.8974168077111244,-1.0,-0.5,-0.4285714285714286,0.4658764715523762
"http://cmt#paperID","=","http://confOf#hasSurname","dp",-1.0,-0.08571428571428563,-0.746031746031746,-1.0,-0.48888888888888893,-0.009523809523809601,-0.7420186317110253,-1.0,-1.0,-1.0,-0.3666666666666668,-0.7142857142857143,-0.9985548582,-0.6923076923076923,-1.0,-1.0,-0.8,-0.7647058823529411,0.22178240967130758
"http://cmt#Author","=","http://confOf#Working_event","c",-1.0,-0.17777777777777792,-0.8055555555555556,-1.0,0.0793650793650793,-0.008547008547008628,-0.987737378155604,-1.0,-0.9357605134389739,-1.0,-0.3333333333333335,-0.6666666666666666,-0.9589227174,-1.0,-0.9455566769465804,-1.0,-1.0,-0.5789473684210527,0.03704245808757245
"http://cmt#finalizePaperAssignment","=","http://confOf#hasAdministrativeEvent","op",-0.9024390243902438,-0.6565656565656566,-0.9074074074074074,-0.8649758656064026,0.0968253968253967,-1.0,-0.7418005124970816,-1.0,-1.0,-1.0,-0.040000000000000036,-0.7272727272727273,-0.9786343375666666,-0.5,-0.9848105714966854,-1.0,-0.9130434782608696,-0.7333333333333334,0.15275652867284095
"http://cmt#Administrator","=","http://confOf#Scholar","c",-1.0,0.5238095238095235,-0.6666666666666667,-0.4581671381362864,-1.0,-1.0,-0.21782202144923546,-0.7142857142857143,-1.0,-1.0,-0.5428571428571428,-0.7142857142857143,-0.9892356116,-0.7894736842105263,-0.7132431864738464,-1.0,-1.0,-0.8,0.8187825801328785
