left,relation,right,owl_type,ngramDistance,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,wuPalmer,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,path,lin,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasure,word2Vec,level2_jara_winkler,prefix,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,word2VecStemmed,jaccard,level2_monge_elkan,suffix,esaSim,level2_jaro,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,jiangConrath,needlemanWunsch2Distance,umbcSim,soft_tfidf_jaro,mongeElkan,simple_tfidf,jaro_winkler_tfidf,levenshteinDistance,hammingDistance,equalDistance,subStringDistance,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,jaroMeasure
http://confOf#University,=,http://sigkdd#ACM_SIGKDD,c,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4222222222222222,0.3,0.3,0.1175743231731898,0.4222222222222222,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,5.4025825E-4,0.4222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.3
http://confOf#Paper,=,http://sigkdd#Registration_SIGMOD_Member,c,0.0,0.5566666666666666,0.20098039215686278,0.0,0.04945054945054945,0.028581677875570432,0.35000000000000003,0.49230769230769234,0.49230769230769234,0.05027317952280184,0.35000000000000003,0.2,0.0,0.0,0.04794771319643159,0.0,0.5566666666666666,0.4,0.0023425585333333335,0.35000000000000003,0.20098039215686278,0.0,0.0,0.0454251298216839,0.06382978723404253,0.01179412379860878,0.0,0.52,0.0,0.0,0.11538461538461542,0.0,0.0,0.12903225806451613,0.0,0.0,0.49230769230769234
http://confOf#Contribution,=,http://sigkdd#Exhibitor,c,0.0,0.4055555555555556,0.16666666666666666,0.0,0.047619047619047616,0.0,0.2037037037037037,0.611111111111111,0.611111111111111,0.12347339009058107,0.2037037037037037,0.0,0.0,0.0,0.0,0.0,0.4055555555555556,0.08333333333333333,0.0011779207,0.2037037037037037,0.16666666666666666,0.0,0.0,0.0,0.2666666666666667,0.0,0.0,0.4666666666666667,0.0,0.0,0.33333333333333337,0.08333333333333337,0.0,0.19047619047619047,0.0,0.0,0.611111111111111
http://confOf#Working_event,=,http://sigkdd#Best_Applications_Paper_Award,c,0.0,0.51,0.3288345641286818,0.0,0.08948412698412699,0.09863340427278514,0.5976190476190476,0.0,0.0,0.06315157303826893,0.5976190476190476,0.034482758620689655,0.0,0.0,0.015377968736493355,0.0,0.51,0.034482758620689655,0.005294255025,0.5976190476190476,0.3288345641286818,0.0,0.0,0.049816722834937516,0.0888888888888889,0.01763503556139767,0.0,0.2,0.0,0.0,0.13793103448275867,0.03448275862068961,0.0,0.04761904761904767,0.0,0.0,0.0
http://confOf#Country,=,http://sigkdd#General_Chair,c,0.0,0.2857142857142857,0.18,0.0,0.05213903743315508,0.0,0.6057142857142858,0.47985347985347987,0.47985347985347987,0.07016405006645039,0.6057142857142858,0.07692307692307693,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.00234430675,0.5619047619047619,0.18,0.0,0.0,0.06779876908735485,0.0,8.190979133360088E-4,0.0,0.2857142857142857,0.0,0.0,0.07692307692307687,0.0,0.0,0.09999999999999998,0.0,0.0,0.47985347985347987
http://confOf#Registration_of_participants_event,=,http://sigkdd#Main_office,c,0.09756097560975607,0.46041666666666664,0.18005050505050504,0.0,0.05734665661136249,0.0,0.42361111111111116,0.0,0.0,0.13248546242373724,0.42361111111111116,0.0,0.0,0.09756097560975607,0.019196949412211967,0.0,0.46041666666666664,0.029411764705882353,0.02450484006666667,0.4180555555555555,0.18005050505050504,0.2533273896707635,0.0,0.026809699403086775,0.1578947368421053,0.006703895439083378,0.24701250547712308,0.509090909090909,0.0,0.0,0.2647058823529411,0.0,0.0,0.1777777777777778,0.0,0.0,0.0
http://confOf#Member,=,http://sigkdd#Listener,c,0.0,0.41111111111111115,0.7619047619047619,0.0,0.16666666666666666,0.22660903652535713,0.3611111111111111,0.625,0.625,0.042650547530227484,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.41111111111111115,0.3333333333333333,0.0015609771,0.3611111111111111,0.7619047619047619,0.0,0.0,0.07697333154343809,0.19999999999999996,4.3459239532239735E-4,0.0,0.43333333333333335,0.0,0.0,0.25,0.125,0.0,0.2857142857142857,0.0,0.0,0.625
http://confOf#Reception,=,http://sigkdd#Best_Student_Paper_Supporter,c,0.0,0.35,0.2707749766573296,0.0,0.075,0.01982208026446383,0.5740740740740741,0.4801587301587302,0.4801587301587302,0.10167634436531839,0.5740740740740741,0.03571428571428571,0.0,0.0,0.0,0.0,0.35,0.1111111111111111,0.001340320275,0.5740740740740741,0.2707749766573296,0.0,0.0,0.057597482183673075,0.08510638297872342,0.030104230507276952,0.0,0.17777777777777778,0.0,0.0,0.1428571428571429,0.0357142857142857,0.0,0.05405405405405406,0.0,0.0,0.4801587301587302
http://confOf#University,=,http://sigkdd#Author_of_paper,c,0.0,0.64,0.2714932126696833,0.0,0.08116883116883117,0.0,0.5333333333333333,0.0,0.0,0.05942777386347573,0.5333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.64,0.2,0.0059438545500000006,0.5333333333333333,0.2714932126696833,0.0,0.0,0.06426847057232535,0.050000000000000044,0.07904179580509663,0.0,0.32,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0,0.16000000000000003,0.0,0.0,0.0
http://confOf#Tutorial,=,http://sigkdd#Program_Committee,c,0.0,0.22857142857142856,0.32456140350877194,0.0,0.07417582417582418,0.08470518269601846,0.4900793650793651,0.406045751633987,0.406045751633987,0.11928129972792442,0.4900793650793651,0.058823529411764705,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.00656901855,0.4900793650793651,0.32456140350877194,0.0,0.0,0.05937457046358538,0.07692307692307687,0.0022306099999696016,0.0,0.2,0.0,0.0,0.11764705882352944,0.05882352941176472,0.0,0.07999999999999996,0.0,0.0,0.406045751633987
