left,relation,right,equalDistance_matcher,needlemanWunsch2Distance_matcher,subStringDistance_matcher,jaroWinklerMeasure_matcher,ngramDistance_matcher,levenshteinDistance_matcher,smoaDistance_matcher,soft_tfidf_jaro,simple_tfidf,jaroMeasure_matcher,hammingDistance_matcher
http://confOf#abstract,=,http://sigkdd#can_stay_in,,,0.21052631578947367,,,,,,,,
http://confOf#has_short_title,=,http://sigkdd#can_stay_in,,0.26315789473684215,,,,0.33333333333333337,,,,,0.19999999999999996
http://confOf#earlyRegistration,=,http://sigkdd#E-mail,,,,0.33529411764705885,,,,,,0.5588235294117647,
http://confOf#Company,=,http://sigkdd#Committee,,0.2727272727272727,0.375,0.3746031746031746,0.16666666666666663,0.33333333333333337,0.579229797979798,,,0.6243386243386243,0.33333333333333337
http://confOf#defaultChoice,=,http://sigkdd#searched_by,,,,0.35244755244755244,,,,,,0.5874125874125874,
http://confOf#hasTitle,=,http://sigkdd#Date,,,,,,0.375,,,,,
http://confOf#hasStreet,=,http://sigkdd#designed_by,,,,,,,,,,,0.18181818181818177
http://confOf#has_short_title,=,http://sigkdd#holded_by,,,,,,,0.050000000000000044,,,,
http://confOf#location,=,http://sigkdd#hold,,,,,,,,,,,0.125
http://confOf#writtenBy,=,http://sigkdd#holded_by,,,,,,,,,,,0.2222222222222222
http://confOf#hasKeyword,=,http://sigkdd#holded_by,,,,,,,0.050000000000000044,,,,0.19999999999999996
http://confOf#Member,=,http://sigkdd#Review,,,,,,,,,,,0.33333333333333337
http://confOf#Student,=,http://sigkdd#Registration_Student,,,0.5185185185185185,,0.4347826086956521,,0.7692307692307692,0.7634902342447755,0.7634902342447755,,
http://confOf#hasCity,=,http://sigkdd#City_of_conference,,,0.32000000000000006,,0.19047619047619047,,0.5034584980237155,0.5614297762353505,0.5614297762353505,,
http://confOf#Registration_of_participants_event,=,http://sigkdd#Registration_SIGMOD_Member,,0.3571428571428571,,,,,,,,,
http://confOf#Administrative_event,=,http://sigkdd#Registration_fee,,0.375,0.38888888888888884,,,,,,,,
http://confOf#Scholar,=,http://sigkdd#Author,,,,0.3857142857142857,,0.2857142857142857,,,,0.6428571428571429,
http://confOf#hasFirstName,=,http://sigkdd#Name,,0.19999999999999996,0.5,,0.33333333333333326,0.33333333333333337,0.75,0.5529022816834047,0.5529022816834047,,
http://confOf#hasHomePage,=,http://sigkdd#can_stay_in,,,,0.3090909090909091,,,,,,0.5151515151515151,
http://confOf#Country,=,http://sigkdd#Committee,,0.2727272727272727,,,,0.33333333333333337,,,,,
http://confOf#follows,=,http://sigkdd#hold,,0.19999999999999996,0.36363636363636365,0.319047619047619,,0.2857142857142857,,,,0.5317460317460317,0.2857142857142857
