left,relation,right,equalDistance_matcher,needlemanWunsch2Distance_matcher,subStringDistance_matcher,jaroWinklerMeasure_matcher,ngramDistance_matcher,levenshteinDistance_matcher,smoaDistance_matcher,soft_tfidf_jaro,simple_tfidf,jaroMeasure_matcher,hammingDistance_matcher
http://conference#is_an_ending_date,=,http://iasted#is_sent_after,,,,,,0.4117647058823529,,,,,
http://conference#Conference_volume,=,http://iasted#Conference_city,,,0.6875,,0.6428571428571429,,0.8347826086956521,0.2562776381690611,0.2562776381690611,,
http://conference#Information_for_participants,=,http://iasted#Author_information_form,,,0.5882352941176471,,0.723404255319149,,0.7080519811440948,0.6500287302593446,,,
http://conference#Written_contribution,=,http://iasted#Publication,,,0.25806451612903225,,,,,,,,
http://conference#invites_co-reviewers,=,http://iasted#is_occupied_by,,0.23076923076923073,,,,,,,,,
http://conference#is_an_abstract_submission_date,=,http://iasted#is_dated_on,,,0.24390243902439024,,0.21621621621621623,,,0.35257885326203003,,,
http://conference#Conference_applicant,=,http://iasted#Conference_restaurant,,0.6363636363636364,,,,0.6666666666666667,0.8327784891165173,,,,
http://conference#has_the_first_name,=,http://iasted#is_made_from,,,,,,0.33333333333333337,,,,,
http://conference#has_been_assigned_a_review_reference,=,http://iasted#is_sent_after,,,,0.3425213675213675,,,,,,0.5708689458689459,
http://conference#has_a_steering_committee,=,http://iasted#is_present_in,,,,0.33642191142191147,,,,,,0.5607031857031858,
http://conference#Organization,=,http://iasted#Viza,,,,,,,0.5861486486486487,,,,
http://conference#is_a_full_paper_submission_date,=,http://iasted#is_equipped_by,,0.1875,,,,0.29032258064516125,,,,,
http://conference#Co-chair,=,http://iasted#Computer,,0.375,,,,,,,,,0.375
http://conference#has_important_dates,=,http://iasted#is_present_in,,,,0.35969410706252813,,,,,,0.5994901784375469,
http://conference#is_a_date_of_acceptance_announcement,=,http://iasted#is_situated_in,,,,0.33492063492063495,,,,,,0.5582010582010583,
http://conference#Track-workshop_chair,=,http://iasted#Transport_vehicle,,,,,,,,,,,0.15000000000000002
http://conference#Abstract,=,http://iasted#State,,0.2727272727272727,,,,0.375,,,,,
http://conference#invited_by,=,http://iasted#is_writen_by,,,,0.45666666666666667,,,,,,0.7611111111111111,
http://conference#was_a_committe_co-chair_of,=,http://iasted#has_amount_of,,0.23076923076923073,0.20512820512820507,,0.17142857142857149,0.34615384615384615,0.27211714460036607,0.12601540238832187,0.12601540238832187,,0.15384615384615385
http://conference#is_a_date_of_camera_ready_paper_submission,=,http://iasted#is_dated_on,,0.15068493150684936,0.18867924528301883,,0.16326530612244894,0.26190476190476186,,0.26678514088541255,,,
http://conference#has_the_last_name,=,http://iasted#has_amount_of,,,0.2666666666666666,,0.15384615384615385,,0.47944680851063837,0.07393995433382448,0.07393995433382448,,0.23529411764705888
http://conference#has_a_review,=,http://iasted#has_amount_of,,0.3571428571428571,0.4,0.39230769230769225,0.2857142857142857,0.3846153846153846,0.6115830115830116,0.12925476630777255,0.12925476630777255,0.6538461538461539,0.3846153846153846
http://conference#Rejected_contribution,=,http://iasted#Registration_fee,,,,,,,,,,,0.23809523809523814
http://conference#Conference,=,http://iasted#Conference_city,,0.5,0.8,0.5466666666666666,0.7619047619047619,0.6666666666666667,0.95,0.5184891948007179,0.5184891948007179,0.9111111111111111,0.6666666666666667
